,date,neg,pos,total
199,1861-11-12,412,626,21922
200,1861-11-13,359,715,21442
201,1861-11-14,407,630,24385
202,1861-11-15,410,701,25379
203,1861-11-16,425,673,25222
204,1861-11-17,473,733,26442
205,1861-11-18,616,793,24321
206,1861-11-19,339,606,22710
207,1861-11-20,386,607,23954
208,1861-11-21,378,683,25509
209,1861-11-22,457,693,24684
210,1861-11-23,502,813,27946
211,1861-11-24,406,712,23259
212,1861-11-25,572,846,26133
213,1861-11-26,473,663,25972
214,1861-11-27,420,762,25453
215,1861-11-28,414,650,25133
216,1861-11-29,388,686,24288
217,1861-11-30,408,692,26511
218,1861-12-01,472,763,27691
219,1861-12-02,473,819,25554
220,1861-12-03,362,558,22120
221,1861-12-04,376,711,27329
222,1861-12-05,438,606,24245
223,1861-12-06,373,699,24391
224,1861-12-07,386,628,24764
225,1861-12-08,359,618,23580
226,1861-12-09,421,735,24519
227,1861-12-10,418,766,25286
228,1861-12-11,485,716,28508
229,1861-12-12,421,774,25790
230,1861-12-13,442,714,23320
231,1861-12-14,372,699,24372
232,1861-12-15,495,793,25379
233,1861-12-16,418,743,23526
234,1861-12-17,353,649,25806
235,1861-12-18,419,747,24240
236,1861-12-19,413,653,25157
237,1861-12-20,392,593,23160
238,1861-12-21,400,644,26470
239,1861-12-22,411,605,24162
240,1861-12-23,456,778,25135
241,1861-12-24,373,634,23597
242,1861-12-25,429,695,24714
243,1861-12-26,434,723,22955
244,1861-12-27,399,596,23545
245,1861-12-28,329,627,23141
246,1861-12-29,444,778,24993
247,1861-12-30,516,689,23703
248,1861-12-31,439,694,25893
249,1862-01-01,376,647,23509
250,1862-01-02,391,724,21548
251,1862-01-03,321,695,24152
252,1862-01-04,440,671,23621
253,1862-01-05,379,726,24970
254,1862-01-06,488,853,24518
255,1862-01-07,396,682,24211
256,1862-01-08,342,563,24303
257,1862-01-09,368,663,22930
258,1862-01-10,399,705,24515
259,1862-01-11,417,701,25211
260,1862-01-12,320,565,21444
261,1862-01-13,443,748,24323
262,1862-01-14,367,703,25010
263,1862-01-15,523,678,26831
264,1862-01-16,425,638,25295
265,1862-01-17,546,786,27258
266,1862-01-18,391,638,24597
267,1862-01-19,356,647,24283
268,1862-01-20,376,841,24233
269,1862-01-21,415,630,26250
270,1862-01-22,361,688,25740
271,1862-01-23,372,681,26302
272,1862-01-24,385,752,26081
273,1862-01-25,382,679,24936
274,1862-01-26,404,682,23386
275,1862-01-27,448,907,25695
276,1862-01-28,352,711,23654
277,1862-01-29,303,758,25325
278,1862-01-30,394,824,28413
279,1862-01-31,474,765,27917
280,1862-02-01,408,743,27051
281,1862-02-02,346,724,25730
282,1862-02-03,438,769,25448
283,1862-02-04,385,724,25274
284,1862-02-05,287,722,24844
285,1862-02-06,483,793,24358
286,1862-02-07,350,694,25489
287,1862-02-08,364,685,25640
288,1862-02-09,435,801,28839
289,1862-02-10,555,836,27833
290,1862-02-11,411,743,22806
291,1862-02-12,435,749,25512
292,1862-02-13,417,646,24128
293,1862-02-14,393,703,25800
294,1862-02-15,397,738,24699
295,1862-02-16,407,755,25185
296,1862-02-17,517,875,25545
297,1862-02-18,385,799,22206
298,1862-02-19,449,817,26016
299,1862-02-20,368,728,26280
300,1862-02-21,404,655,26343
301,1862-02-22,431,750,27353
302,1862-02-23,402,693,24619
303,1862-02-24,459,811,26658
304,1862-02-25,356,599,20584
305,1862-02-26,419,701,25693
306,1862-02-27,435,774,28570
307,1862-02-28,442,763,27553
308,1862-03-01,309,649,24164
309,1862-03-02,526,816,29824
310,1862-03-03,527,902,28209
311,1862-03-04,421,753,25121
312,1862-03-05,399,764,27117
313,1862-03-07,434,644,22524
314,1862-03-08,455,780,26951
315,1862-03-10,479,896,28842
316,1862-03-11,307,691,22980
317,1862-03-12,319,602,23396
318,1862-03-13,453,776,26779
319,1862-03-14,473,1003,28938
320,1862-03-15,417,714,26153
321,1862-03-16,293,629,26132
322,1862-03-17,429,876,28220
323,1862-03-18,306,693,24511
324,1862-03-19,393,744,27068
325,1862-03-20,494,713,28668
326,1862-03-21,460,693,29850
327,1862-03-22,424,684,28290
328,1862-03-23,346,664,24575
329,1862-03-24,536,684,23987
330,1862-03-25,327,679,23237
331,1862-03-26,299,747,24443
332,1862-03-27,293,571,24883
333,1862-03-28,350,723,27604
334,1862-03-29,366,631,25878
335,1862-03-30,399,539,21451
336,1862-03-31,499,784,24859
337,1862-04-01,331,605,23795
338,1862-04-02,434,656,25114
339,1862-04-03,303,690,26205
340,1862-04-04,450,724,26894
341,1862-04-05,410,752,28546
342,1862-04-06,306,616,23100
343,1862-04-07,349,702,22055
344,1862-04-08,338,662,23874
345,1862-04-09,376,644,28102
346,1862-04-10,405,676,27916
347,1862-04-11,438,806,27126
348,1862-04-12,350,616,25520
349,1862-04-13,421,677,26596
350,1862-04-14,419,910,26911
351,1862-04-15,379,807,25251
352,1862-04-16,295,508,23391
