,date,pas,total
228,1788-03-14,6,2971
229,1788-03-18,3,2988
230,1788-03-21,6,2819
231,1788-03-25,5,4302
232,1788-03-28,7,4457
233,1788-04-01,4,2854
234,1788-04-04,5,2921
235,1788-04-08,5,3037
236,1788-04-11,8,2804
237,1788-04-15,11,4450
238,1788-04-18,3,2922
239,1788-04-22,4,3194
240,1788-04-25,9,3121
241,1788-04-29,5,3102
242,1788-05-02,6,3024
243,1788-05-06,4,3124
244,1788-05-09,5,2948
245,1788-05-13,3,2947
246,1788-05-16,4,2934
247,1788-05-20,1,3093
248,1788-05-23,3,3156
249,1788-05-27,3,3068
250,1788-05-30,7,2966
251,1788-06-03,5,3079
252,1788-06-06,4,3041
253,1788-06-10,4,3044
254,1788-06-13,3,3053
255,1788-06-17,11,3206
256,1788-06-20,7,2919
257,1788-06-24,6,3124
258,1788-06-27,7,2914
259,1788-07-01,4,3210
260,1788-07-04,3,4746
261,1788-07-08,14,4723
262,1788-07-11,11,4457
263,1788-07-15,8,3084
264,1788-07-18,7,2983
265,1788-07-22,11,4791
266,1788-07-25,3,2958
267,1788-07-29,8,4787
268,1788-08-01,2,2961
269,1788-08-05,6,3178
270,1788-08-08,16,4973
271,1788-08-12,12,4996
272,1788-08-15,11,4768
273,1788-08-19,5,3031
274,1788-08-22,10,5022
275,1788-08-26,6,3033
276,1788-08-29,1,2986
277,1788-09-02,9,3011
278,1788-09-05,1,3023
279,1788-09-09,1,2844
280,1788-09-12,4,3256
281,1788-09-16,2,3091
282,1788-09-19,7,2997
283,1788-09-23,10,4829
284,1788-09-26,2,3025
285,1788-09-30,16,4678
286,1788-10-03,5,4812
287,1788-10-07,2,3069
288,1788-10-10,13,4697
289,1788-10-14,3,2916
290,1788-10-17,2,2884
291,1788-10-21,4,4067
292,1788-10-24,3,3035
293,1788-10-28,8,4429
294,1788-10-31,7,3129
295,1788-11-04,6,3155
296,1788-11-07,0,3114
297,1788-11-11,17,8289
298,1788-11-14,4,3089
299,1788-11-18,7,2942
300,1788-11-21,3,4426
301,1788-11-25,5,3069
302,1788-11-28,4,2942
303,1788-12-02,4,3369
304,1788-12-05,4,2444
305,1788-12-09,3,2658
306,1788-12-12,3,2898
307,1788-12-16,3,2659
308,1788-12-19,6,3096
309,1788-12-23,9,2885
310,1788-12-26,10,3156
311,1788-12-30,13,25208
312,1789-01-02,10,3044
313,1789-01-06,18,6276
314,1789-01-09,27,6046
315,1789-01-13,9,4566
316,1789-01-16,8,2780
317,1789-01-20,7,2811
318,1789-01-23,3,2675
319,1789-01-27,8,2762
320,1789-01-30,6,4065
321,1789-02-06,3,2863
322,1789-02-10,13,6063
323,1789-02-13,11,4846
324,1789-02-17,2,2714
325,1789-02-20,7,2818
326,1789-02-24,4,2756
327,1789-02-27,3,2917
328,1789-03-03,5,2862
329,1789-03-06,1,2786
330,1789-03-10,6,2929
331,1789-03-13,5,2923
332,1789-03-17,5,2680
333,1789-03-20,7,2964
334,1789-03-24,2,2871
335,1789-03-27,8,4604
336,1789-03-31,5,2935
337,1789-04-03,3,2826
338,1789-04-07,8,2829
339,1789-04-10,5,2829
340,1789-04-14,5,2765
341,1789-04-17,8,2758
342,1789-04-21,18,4750
343,1789-04-24,6,2739
344,1789-04-28,5,2713
345,1789-05-01,12,2700
346,1789-05-05,6,2766
347,1789-05-08,3,2789
348,1789-05-12,6,4548
349,1789-05-15,3,2942
350,1789-05-19,138,29428
351,1789-05-22,4,2850
352,1789-05-26,5,2813
353,1789-05-29,10,3031
354,1789-06-02,6,2910
355,1789-06-05,5,2866
356,1789-06-09,5,2923
357,1789-06-12,15,3094
358,1789-06-16,3,2905
359,1789-06-19,2,3465
360,1789-06-23,4,2830
361,1789-06-26,3,2772
362,1789-06-30,8,6112
363,1789-07-03,8,2940
