,date,pas,total
228,1791-08-02,16,7256
229,1791-08-04,19,6921
230,1791-08-06,13,7173
231,1791-08-09,14,7045
232,1791-08-11,25,7206
233,1791-08-13,30,6983
234,1791-08-16,23,4697
235,1791-08-18,30,7168
236,1791-08-20,19,7144
237,1791-08-23,28,6824
238,1791-08-25,20,6978
239,1791-08-27,26,6772
240,1791-08-30,16,7142
241,1791-09-01,28,7173
242,1791-09-03,23,7047
243,1791-09-06,13,7170
244,1791-09-08,17,7107
245,1791-09-10,23,6891
246,1791-09-13,24,6948
247,1791-09-15,26,4604
248,1791-09-17,16,4428
249,1791-09-20,13,7026
250,1791-09-22,8,7020
251,1791-09-24,35,6769
252,1791-09-27,12,6972
253,1791-09-29,34,7281
254,1791-10-01,25,6998
255,1791-10-04,23,6868
256,1791-10-06,30,6762
257,1791-10-08,15,6858
258,1791-10-11,21,7176
259,1791-10-13,35,4563
260,1791-10-15,24,7290
261,1791-10-18,14,10303
262,1791-10-20,21,4549
263,1791-10-22,16,4505
264,1791-10-25,25,7027
265,1791-10-27,18,6900
266,1791-10-29,25,7199
267,1791-11-01,38,7206
268,1791-11-03,30,7013
269,1791-11-05,36,4685
270,1791-11-08,21,4674
271,1791-11-10,26,4639
272,1791-11-12,21,7141
273,1791-11-15,21,7135
274,1791-11-17,27,7067
275,1791-11-19,16,7113
276,1791-11-22,24,6625
277,1791-11-24,21,7295
278,1791-11-26,22,7233
279,1791-11-29,12,6994
280,1791-12-01,22,7026
281,1791-12-03,17,6751
282,1791-12-06,14,6848
283,1791-12-08,20,6939
284,1791-12-10,28,6882
285,1791-12-13,12,6801
286,1791-12-15,15,6785
287,1791-12-17,25,6993
288,1791-12-20,17,6685
289,1791-12-22,22,6971
290,1791-12-24,12,7129
291,1791-12-27,22,6706
292,1791-12-29,19,6828
293,1791-12-31,20,4577
294,1792-01-03,8,6816
295,1792-01-05,17,4474
296,1792-01-07,32,6573
297,1792-01-10,20,6925
298,1792-01-12,13,7118
299,1792-01-14,24,6918
300,1792-01-17,18,6970
301,1792-01-19,13,6896
302,1792-01-21,20,4681
303,1792-01-24,18,7048
304,1792-01-26,19,7057
305,1792-01-28,20,6869
306,1792-01-31,24,4706
307,1792-02-02,12,6650
308,1792-02-04,24,6946
309,1792-02-07,45,9252
310,1792-02-09,12,6949
311,1792-02-11,28,7089
312,1792-02-14,15,4577
313,1792-02-16,23,4706
314,1792-02-18,22,7017
315,1792-02-21,14,6792
316,1792-02-23,18,6985
317,1792-02-26,34,4592
318,1792-02-28,23,6883
319,1792-03-01,34,9350
320,1792-03-04,22,6578
321,1792-03-06,16,6039
322,1792-03-08,30,6670
323,1792-03-11,24,6324
324,1792-03-13,20,6075
325,1792-03-15,16,6437
326,1792-03-18,19,4348
327,1792-03-20,18,6448
328,1792-03-22,24,6704
329,1792-03-25,29,6709
330,1792-03-27,20,6705
331,1792-03-29,15,4327
332,1792-04-01,17,6557
333,1792-04-03,12,6830
334,1792-04-05,16,6518
335,1792-04-08,26,6778
336,1792-04-10,14,6525
337,1792-04-12,10,6795
338,1792-04-15,17,4463
339,1792-04-17,19,4409
340,1792-04-19,24,4384
341,1792-04-22,25,6968
342,1792-04-24,24,4547
343,1792-04-26,23,4608
344,1792-04-29,32,6676
345,1792-05-01,7,6148
346,1792-05-03,14,6390
347,1792-05-06,13,6596
348,1792-05-08,23,6763
349,1792-05-10,19,4381
350,1792-05-13,27,4489
351,1792-05-15,29,6582
352,1792-05-17,19,6645
353,1792-05-20,14,4511
354,1792-05-22,16,6536
355,1792-05-24,16,4316
356,1792-05-27,26,9966
357,1792-05-29,24,4389
358,1792-05-31,28,4615
359,1792-06-03,27,10211
360,1792-06-05,26,7579
361,1792-06-07,24,7224
362,1792-06-10,30,7468
363,1792-06-12,22,7514
364,1792-06-14,30,7340
365,1792-06-17,30,7288
366,1792-06-19,23,7226
367,1792-06-21,21,7288
368,1792-06-24,36,11635
369,1792-06-26,23,7485
370,1792-06-28,36,7521
371,1792-07-01,30,7588
372,1792-07-03,33,7522
373,1792-07-05,35,4985
374,1792-07-08,33,11685
375,1792-07-10,15,7485
376,1792-07-12,14,4921
377,1792-07-15,22,4829
378,1792-07-17,27,7565
379,1792-07-19,35,7433
380,1792-07-22,31,7278
381,1792-07-24,24,5115
382,1792-07-26,25,7445
383,1792-07-29,33,11458
384,1792-07-31,19,4850
385,1792-08-02,28,4802
386,1792-08-05,42,7186
387,1792-08-07,16,4856
388,1792-08-09,24,4860
389,1792-08-12,30,7400
390,1792-08-14,16,7320
391,1792-08-16,20,7340
392,1792-08-19,24,7273
393,1792-08-21,19,5052
394,1792-08-22,19,7034
395,1792-08-26,22,7238
396,1792-08-28,19,7520
397,1792-08-30,13,7368
398,1792-09-02,31,7507
399,1792-09-04,19,4932
400,1792-09-06,19,4760
401,1792-09-09,26,11492
402,1792-09-11,15,7671
403,1792-09-13,15,7308
404,1792-09-16,33,10929
405,1792-09-18,23,7292
