,date,pas,total
228,1869-02-18,101,21091
229,1869-02-19,105,21312
230,1869-02-20,125,22065
231,1869-02-21,63,19160
232,1869-02-22,123,20134
233,1869-02-23,131,21450
234,1869-02-24,108,21886
235,1869-02-25,138,22728
236,1869-02-26,124,20976
237,1869-02-27,120,18980
238,1869-02-28,107,21459
239,1869-03-01,128,21168
240,1869-03-02,128,20965
241,1869-03-03,120,20720
242,1869-03-04,106,21910
243,1869-03-05,120,19595
244,1869-03-06,106,19921
245,1869-03-07,108,23155
246,1869-03-08,114,20489
247,1869-03-09,106,20949
248,1869-03-10,120,21083
249,1869-03-11,113,20486
250,1869-03-12,144,21201
251,1869-03-14,93,19740
252,1869-03-15,63,15515
253,1869-03-16,82,14336
254,1869-03-17,125,21006
255,1869-03-18,85,20469
256,1869-03-19,83,19730
257,1869-03-20,75,20873
258,1869-03-21,103,19223
259,1869-03-22,86,19253
260,1869-03-23,81,20304
261,1869-03-24,116,19286
262,1869-03-25,75,19991
263,1869-03-26,112,20649
264,1869-03-27,80,16890
265,1869-03-28,65,17854
266,1869-03-29,67,17881
267,1869-03-31,106,20048
268,1869-04-01,112,20569
269,1869-04-02,93,20789
270,1869-04-03,116,20739
271,1869-04-04,82,19297
272,1869-04-05,83,17994
273,1869-04-06,109,20722
274,1869-04-07,89,20425
275,1869-04-08,97,19224
276,1869-04-09,74,19757
277,1869-04-10,97,19402
278,1869-04-11,89,15211
279,1869-04-12,108,20247
280,1869-04-13,111,21979
281,1869-04-14,109,19885
282,1869-04-15,133,21559
283,1869-04-16,109,20741
284,1869-04-17,96,19902
285,1869-04-18,108,19317
286,1869-04-19,83,17606
287,1869-04-20,69,16334
288,1869-04-21,90,16552
289,1869-04-22,86,16624
290,1869-04-23,80,17069
291,1869-04-24,136,20444
292,1869-04-25,76,18941
293,1869-04-26,111,21433
294,1869-04-27,99,21195
295,1869-04-28,109,20134
296,1869-04-29,112,19603
297,1869-04-30,106,20632
298,1869-05-01,88,18670
299,1869-05-02,77,20237
300,1869-05-03,98,19632
301,1869-05-04,101,21300
302,1869-05-05,107,20319
303,1869-05-06,122,20142
304,1869-05-07,87,20502
305,1869-05-08,116,19495
306,1869-05-09,98,19717
307,1869-05-10,87,20165
308,1869-05-11,82,18444
309,1869-05-12,105,19429
310,1869-05-13,104,20435
311,1869-05-14,98,17842
312,1869-05-15,110,20473
313,1869-05-16,86,19073
314,1869-05-17,102,19835
315,1869-05-18,122,20417
316,1869-05-19,109,19759
317,1869-05-20,117,18612
318,1869-05-21,105,19967
319,1869-05-22,91,18425
320,1869-05-23,102,19560
321,1869-05-24,101,20200
322,1869-05-25,78,19211
323,1869-05-27,110,20927
324,1869-05-28,94,20461
325,1869-05-29,115,20024
326,1869-05-30,120,18951
327,1869-05-31,111,18700
328,1869-06-01,108,19059
329,1869-06-02,95,19539
330,1869-06-03,110,19209
331,1869-06-04,119,19656
332,1869-06-05,138,20490
333,1869-06-06,91,17940
334,1869-06-07,96,19736
335,1869-06-08,123,19546
336,1869-06-09,97,17449
337,1869-06-10,100,22289
338,1869-06-11,114,20547
339,1869-06-12,86,19868
340,1869-06-13,129,19331
341,1869-06-14,96,19438
342,1869-06-15,111,19459
343,1869-06-16,107,18826
344,1869-06-17,100,20245
345,1869-06-18,91,20496
346,1869-06-19,117,19532
347,1869-06-20,120,21275
348,1869-06-21,98,20264
349,1869-06-22,104,21372
350,1869-06-23,115,21287
351,1869-06-24,120,19887
352,1869-06-25,104,22064
353,1869-06-26,104,20398
354,1869-06-27,103,19988
355,1869-06-28,103,24186
356,1869-06-29,134,22286
357,1869-06-30,111,19591
358,1869-07-01,131,22798
359,1869-07-02,97,21542
360,1869-07-03,97,20420
361,1869-07-04,124,22084
362,1869-07-05,80,20884
363,1869-07-06,155,20931
364,1869-07-07,122,21521
365,1869-07-08,119,21883
366,1869-07-09,120,21934
367,1869-07-10,112,19884
368,1869-07-11,134,20712
369,1869-07-12,124,20497
370,1869-07-13,92,19908
371,1869-07-14,119,19641
372,1869-07-15,139,21182
373,1869-07-16,129,21575
374,1869-07-17,110,20489
375,1869-07-18,117,20548
376,1869-07-19,95,20861
377,1869-07-20,107,20437
378,1869-07-21,103,19594
379,1869-07-22,152,21641
380,1869-07-23,101,20199
381,1869-07-24,143,21155
382,1869-07-25,124,21176
383,1869-07-26,111,20266
384,1869-07-27,103,20935
385,1869-07-28,101,19527
386,1869-07-29,100,20661
387,1869-07-30,97,19714
388,1869-07-31,98,20905
389,1869-08-01,139,21399
390,1869-08-02,118,21291
391,1869-08-03,82,20721
392,1869-08-04,123,21369
393,1869-08-05,121,27259
394,1869-08-06,113,20164
395,1869-08-07,128,21972
396,1869-08-08,107,21206
397,1869-08-09,83,20316
398,1869-08-10,139,21951
399,1869-08-11,118,22377
400,1869-08-12,132,21622
401,1869-08-13,138,21897
402,1869-08-14,119,21893
403,1869-08-15,64,19912
404,1869-08-16,93,21349
405,1869-08-17,118,20190
406,1869-08-18,149,22005
407,1869-08-19,144,21518
408,1869-08-20,124,21975
409,1869-08-21,103,21646
410,1869-08-22,127,21809
411,1869-08-23,134,20706
412,1869-08-24,112,21826
413,1869-08-25,147,21358
414,1869-08-26,122,21305
415,1869-08-27,137,21720
416,1869-08-28,136,21142
417,1869-08-29,118,21176
418,1869-08-30,119,21861
419,1869-08-31,120,23472
420,1869-09-01,122,21242
421,1869-09-02,125,22789
422,1869-09-03,106,22461
423,1869-09-04,107,21972
424,1869-09-05,114,21343
425,1869-09-06,186,23961
426,1869-09-07,130,21692
427,1869-09-08,129,21309
428,1869-09-09,133,22016
429,1869-09-10,106,21437
430,1869-09-11,122,21961
431,1869-09-12,142,21412
432,1869-09-13,158,21865
433,1869-09-14,115,22046
434,1869-09-15,121,22056
435,1869-09-16,138,22111
436,1869-09-17,113,21036
437,1869-09-18,151,21816
438,1869-09-19,166,21633
439,1869-09-20,146,22526
440,1869-09-21,112,22246
441,1869-09-22,127,22677
442,1869-09-23,91,20665
443,1869-09-24,88,20788
444,1869-09-25,107,19790
445,1869-09-26,73,18483
446,1869-09-27,93,18583
447,1869-09-28,71,19764
448,1869-09-29,98,22589
449,1869-09-30,86,20218
450,1869-10-01,121,20151
451,1869-10-02,128,21888
452,1869-10-03,90,20380
453,1869-10-04,115,19870
454,1869-10-05,123,23012
455,1869-10-06,152,23248
456,1869-10-07,116,21242
457,1869-10-08,101,18817
458,1869-10-09,147,22583
459,1869-10-10,127,21363
460,1869-10-11,121,20595
461,1869-10-12,124,22120
462,1869-10-13,134,22245
463,1869-10-14,126,19396
464,1869-10-15,130,22252
