,date,pas,total
228,1892-12-03,59,19532
229,1892-12-04,48,16046
230,1892-12-05,93,20550
231,1892-12-06,57,20728
232,1892-12-07,81,20733
233,1892-12-08,85,20890
234,1892-12-09,74,20909
235,1892-12-10,71,19851
236,1892-12-11,97,21323
237,1892-12-12,79,20917
238,1892-12-13,87,19696
239,1892-12-14,96,20355
240,1892-12-15,106,21257
241,1892-12-16,77,20790
242,1892-12-17,59,20573
243,1892-12-18,62,18647
244,1892-12-19,97,20003
245,1892-12-20,100,19765
246,1892-12-21,103,19297
247,1892-12-22,85,20490
248,1892-12-23,100,21239
249,1892-12-24,67,16709
250,1892-12-25,80,19643
251,1892-12-26,84,19485
252,1892-12-27,95,20218
253,1892-12-28,89,20041
254,1892-12-29,68,19895
255,1892-12-30,98,20036
256,1892-12-31,77,20228
257,1893-01-01,83,20233
258,1893-01-02,65,19552
259,1893-01-03,84,19504
260,1893-01-04,95,20582
261,1893-01-05,75,19640
262,1893-01-06,82,20523
263,1893-01-07,87,20864
264,1893-01-08,66,18673
265,1893-01-09,97,19047
266,1893-01-10,70,18996
267,1893-01-11,104,20886
268,1893-01-12,85,19245
269,1893-01-13,115,21151
270,1893-01-14,125,20495
271,1893-01-15,103,20686
272,1893-01-16,105,19633
273,1893-01-17,95,20361
274,1893-01-18,112,21568
275,1893-01-19,92,21321
276,1893-01-20,116,19400
277,1893-01-21,100,19676
278,1893-01-22,102,18896
279,1893-01-23,102,19965
280,1893-01-24,90,20149
281,1893-01-25,110,21296
282,1893-01-26,97,20989
283,1893-01-27,113,20774
284,1893-01-28,97,20237
285,1893-01-29,85,21015
286,1893-01-30,113,19624
287,1893-01-31,107,20516
288,1893-02-01,135,21242
289,1893-02-02,60,20202
290,1893-02-03,83,18711
291,1893-02-04,94,19957
292,1893-02-05,53,17718
293,1893-02-06,77,21055
294,1893-02-07,108,20815
295,1893-02-08,113,20432
296,1893-02-09,111,21614
297,1893-02-10,60,20976
298,1893-02-11,82,21910
299,1893-02-12,65,21069
300,1893-02-13,101,20426
301,1893-02-14,92,20249
302,1893-02-15,94,19973
303,1893-02-16,90,20763
304,1893-02-17,59,21219
305,1893-02-18,97,21391
306,1893-02-19,68,18634
307,1893-02-20,77,20839
308,1893-02-21,85,21306
309,1893-02-22,73,20869
310,1893-02-23,90,21375
311,1893-02-24,96,20269
312,1893-02-25,71,20947
313,1893-02-26,60,20618
314,1893-02-27,81,19579
315,1893-02-28,105,21210
316,1893-03-01,86,21353
317,1893-03-02,97,22510
318,1893-03-03,97,20606
319,1893-03-04,91,21092
320,1893-03-05,49,17137
321,1893-03-06,116,20583
322,1893-03-07,82,20308
323,1893-03-08,98,21251
324,1893-03-09,104,21004
325,1893-03-10,112,20557
326,1893-03-11,138,21626
327,1893-03-12,90,20305
328,1893-03-13,117,20541
329,1893-03-14,108,20927
330,1893-03-15,115,22465
331,1893-03-16,98,21504
332,1893-03-17,113,20909
333,1893-03-18,90,21526
334,1893-03-19,105,21099
335,1893-03-20,84,19700
336,1893-03-21,111,22136
337,1893-03-22,107,20739
338,1893-03-23,91,21967
339,1893-03-24,67,21073
340,1893-03-25,81,20719
341,1893-03-26,74,20615
342,1893-03-27,82,20397
343,1893-03-28,81,20133
