,date,pas,total
0,1789-10-03,2,3355
1,1789-10-04,4,2363
2,1789-10-05,4,2261
3,1789-10-06,8,2535
4,1789-10-07,8,2336
5,1789-10-08,6,3564
6,1789-10-09,7,2406
7,1789-10-10,7,2314
8,1789-10-11,9,3241
9,1789-10-12,16,2450
10,1789-10-13,6,3033
11,1789-10-14,15,3919
12,1789-10-15,4,2322
13,1789-10-16,7,2509
14,1789-10-17,10,2440
15,1789-10-18,11,2417
16,1789-10-19,10,2545
17,1789-10-20,11,2491
18,1789-10-21,7,2261
19,1789-10-22,3,2480
20,1789-10-23,6,2644
21,1789-10-24,11,3889
22,1789-10-25,6,2332
23,1789-10-26,8,2404
24,1789-10-27,18,3816
25,1789-10-28,6,2316
26,1789-10-29,9,2174
27,1789-10-30,5,2492
28,1789-10-31,20,4140
29,1789-11-01,7,2569
30,1789-11-02,10,2433
31,1789-11-03,8,2431
32,1789-11-04,3,2396
33,1789-11-05,5,2425
34,1789-11-06,10,3941
35,1789-11-07,3,2381
36,1789-11-08,4,2240
37,1789-11-09,8,2397
38,1789-11-10,7,2354
39,1789-11-11,8,2312
40,1789-11-12,38,5287
41,1789-11-13,23,5327
42,1789-11-14,14,3767
43,1789-11-15,5,2351
44,1789-11-16,5,2360
45,1789-11-17,4,2380
46,1789-11-18,7,2577
47,1789-11-19,5,3056
48,1789-11-20,8,3974
49,1789-11-21,10,2943
50,1789-11-22,6,2667
51,1789-11-23,7,2365
52,1789-11-24,3,2394
53,1789-11-25,12,3993
54,1789-11-26,5,2870
55,1789-11-27,7,2635
56,1789-11-28,2,2998
57,1789-11-29,4,2441
58,1789-11-30,5,2443
59,1789-12-01,5,2412
60,1789-12-02,3,2408
61,1789-12-03,17,4086
62,1789-12-04,8,2580
63,1789-12-05,5,2949
64,1789-12-06,5,2411
65,1789-12-07,6,2446
66,1789-12-08,8,2410
67,1789-12-09,4,2746
68,1789-12-10,18,2694
69,1789-12-11,10,4340
70,1789-12-12,19,4433
71,1789-12-13,16,2749
72,1789-12-14,22,5332
73,1789-12-15,16,6976
74,1789-12-16,10,5228
75,1789-12-17,28,6036
76,1789-12-18,42,7820
77,1789-12-19,24,5644
78,1789-12-20,16,4978
79,1789-12-21,22,5594
80,1789-12-22,6,4922
81,1789-12-23,18,4784
82,1789-12-24,26,5772
83,1789-12-25,16,5808
84,1789-12-26,38,5230
85,1789-12-27,26,8168
86,1789-12-28,10,4782
87,1789-12-29,20,5790
88,1789-12-30,18,7354
89,1789-12-31,28,8018
90,1790-07-01,12,5978
91,1790-07-02,16,6972
92,1790-07-03,16,7390
93,1790-07-04,18,6334
94,1790-07-05,16,7100
95,1790-07-06,14,6518
96,1790-07-31,3,3410
97,1790-08-01,13,4607
98,1790-08-02,6,3423
99,1790-08-03,9,3260
100,1790-08-04,10,3248
101,1790-08-05,2,2966
102,1790-08-06,7,3285
103,1790-08-07,9,3096
104,1790-08-08,1,3342
105,1790-08-09,11,3339
106,1790-08-10,11,3243
107,1790-08-11,17,4779
108,1790-08-12,6,3035
109,1790-08-13,9,3057
110,1790-08-14,1,3363
111,1790-08-15,10,3152
112,1790-08-16,5,3348
113,1790-08-17,10,3126
114,1790-08-18,5,3295
115,1790-08-19,12,5218
116,1790-08-20,7,4079
117,1790-08-22,11,3215
118,1790-08-23,5,3486
119,1790-08-24,25,8848
120,1790-08-25,1,3118
121,1790-08-26,3,2148
122,1790-08-27,6,3430
123,1790-08-28,8,3277
124,1790-08-29,12,3356
125,1790-08-30,9,3175
126,1790-08-31,4,3178
127,1790-09-01,13,4831
128,1790-09-02,10,4818
129,1790-09-03,16,3263
130,1790-09-04,8,3177
131,1790-09-05,11,4765
132,1790-09-06,2,2899
133,1790-09-07,10,3063
134,1790-09-08,7,3124
135,1790-09-09,2,3158
136,1790-09-10,7,3063
137,1790-09-11,8,3020
138,1790-09-12,15,3270
139,1790-09-13,5,3488
140,1790-09-14,7,3079
141,1790-09-15,9,3791
142,1790-09-16,9,3605
143,1790-09-17,5,3278
144,1790-09-18,11,3577
145,1790-09-19,10,3499
146,1790-09-20,17,5513
147,1790-09-21,13,3296
148,1790-09-22,3,3363
149,1790-09-23,5,3347
150,1790-09-24,7,3108
151,1790-09-25,19,5205
152,1790-09-26,19,4486
153,1790-09-27,5,3551
154,1790-09-28,10,2985
155,1790-09-29,12,3190
156,1790-09-30,11,3054
157,1790-10-01,7,4683
158,1790-10-02,5,3306
159,1790-10-03,13,3079
160,1790-10-04,12,3228
161,1790-10-05,10,3243
162,1790-10-06,9,2951
163,1790-10-07,8,3065
164,1790-10-08,9,2977
165,1790-10-09,10,3140
166,1790-10-10,3,3393
167,1790-10-11,3,3142
168,1790-10-12,8,3097
169,1790-10-13,12,5031
170,1790-10-14,13,3028
171,1790-10-15,14,3030
