,date,pas,total
0,1846-01-01,58,16067
1,1846-01-02,93,15681
2,1846-01-03,87,16170
3,1846-01-05,77,14655
4,1846-01-07,72,15327
5,1846-01-08,110,16174
6,1846-01-09,110,16923
7,1846-01-14,106,16450
8,1846-01-15,93,16753
9,1846-01-16,86,16254
10,1846-01-17,118,16955
11,1846-01-22,120,16426
12,1846-01-23,84,16050
13,1846-01-24,88,15892
14,1846-01-25,162,31798
15,1846-01-26,81,15698
16,1846-01-27,87,15204
17,1846-01-30,113,22993
18,1846-01-31,115,16209
19,1846-02-01,106,15254
20,1846-02-02,67,15465
21,1846-02-03,95,14930
22,1846-02-05,87,15116
23,1846-02-08,144,31386
24,1846-02-09,74,14837
25,1846-02-10,104,17550
26,1846-02-11,128,15517
27,1846-02-12,80,15105
28,1846-02-13,88,16518
29,1846-02-16,79,15008
30,1846-02-17,117,16202
31,1846-02-19,85,15919
32,1846-02-20,103,17510
33,1846-02-21,100,15730
34,1846-02-25,74,15984
35,1846-02-28,83,15395
36,1846-03-03,106,15250
37,1846-03-04,86,16294
38,1846-03-05,68,16882
39,1846-03-06,94,15514
40,1846-03-08,150,30782
41,1846-03-10,117,15839
42,1846-03-12,77,14474
43,1846-03-13,77,15148
44,1846-03-14,68,14712
45,1846-03-15,105,14814
46,1846-03-16,82,15485
47,1846-03-18,120,15625
48,1846-03-21,134,16047
49,1846-03-22,185,29214
50,1846-03-23,51,15367
51,1846-03-24,84,16251
52,1846-03-28,75,14327
53,1846-03-30,63,13511
54,1846-03-31,83,15861
55,1846-04-01,70,14973
56,1846-04-02,75,15224
57,1846-04-05,148,29179
58,1846-04-06,78,14936
59,1846-04-08,72,14407
60,1846-04-09,54,15039
61,1846-04-12,63,14099
62,1846-04-13,66,14129
63,1846-04-14,60,14588
64,1846-04-15,80,14833
65,1846-04-16,85,15719
66,1846-04-17,88,16654
67,1846-04-18,76,15134
68,1846-04-19,142,28906
69,1846-04-20,63,14482
70,1846-04-23,82,16201
71,1846-04-24,45,14371
72,1846-04-25,73,14495
73,1846-04-26,177,28821
74,1846-04-27,74,14530
75,1846-04-29,106,15894
76,1846-04-30,42,14535
77,1846-05-01,59,14407
78,1846-05-03,126,28100
79,1846-05-04,56,14997
80,1846-05-06,65,16218
81,1846-05-07,65,15274
82,1846-05-08,57,15151
83,1846-05-10,158,30174
84,1846-05-14,95,16420
85,1846-05-15,89,15003
86,1846-05-16,92,14294
87,1846-05-17,168,29414
88,1846-05-22,89,15334
89,1846-05-23,70,14536
90,1846-05-24,140,29850
91,1846-05-25,89,16113
92,1846-05-28,102,16964
93,1846-05-30,104,17527
94,1846-06-01,71,14931
95,1846-06-03,108,15089
96,1846-06-04,63,13995
97,1846-06-05,116,14851
98,1846-06-06,93,22812
99,1846-06-07,180,29170
100,1846-06-10,105,14725
101,1846-06-11,80,15117
102,1846-06-15,115,15810
103,1846-06-17,85,14986
104,1846-06-18,75,13599
105,1846-06-19,82,14550
