,date,pas,total
0,1789-08-29,8,2277
1,1789-08-31,6,2824
2,1789-09-01,11,2629
3,1789-09-02,12,2803
4,1789-09-03,25,4794
5,1789-09-05,9,2165
6,1789-09-07,8,2920
7,1789-09-09,10,1423
8,1789-09-10,8,2035
9,1789-09-11,6,1155
10,1789-09-12,16,2936
11,1789-09-14,11,2156
12,1789-09-15,5,1863
13,1789-09-16,10,1024
14,1789-09-17,8,2033
15,1789-09-18,9,2343
16,1789-09-19,2,1775
17,1789-09-21,9,2838
18,1789-09-22,1,1076
19,1789-09-23,7,2449
20,1789-09-24,5,3000
21,1789-09-25,16,2978
22,1789-09-26,4,1270
23,1789-09-28,9,2797
24,1789-09-29,11,2514
25,1789-09-30,19,3307
26,1789-10-01,7,2279
27,1789-10-02,11,2377
28,1789-10-03,10,2566
29,1789-10-05,11,3430
30,1789-10-06,5,1197
31,1789-10-08,3,1686
32,1789-10-09,13,2522
33,1789-10-10,5,2394
34,1789-10-12,3,2150
35,1789-10-13,10,2513
36,1789-10-14,12,2457
37,1789-10-15,2,1375
38,1789-10-19,5,1353
39,1789-10-20,13,1952
40,1789-10-21,23,4068
41,1789-10-22,3,1875
42,1789-10-23,6,2240
43,1789-10-24,2,1898
44,1789-10-26,6,2026
45,1789-10-27,8,2053
46,1789-10-28,18,2312
47,1789-10-29,13,2667
48,1789-10-30,21,2573
49,1789-10-31,10,2075
50,1789-11-02,5,1725
51,1789-11-03,9,1965
52,1789-11-04,10,2486
53,1789-11-05,11,3502
54,1789-11-06,7,2335
55,1789-11-07,6,2266
56,1789-11-09,8,3529
57,1789-11-10,8,2149
58,1789-11-11,5,2300
59,1789-11-12,7,2395
60,1789-11-13,5,2488
61,1789-11-14,3,2141
62,1789-11-16,10,2187
63,1789-11-17,15,5099
64,1789-11-18,5,1502
65,1789-11-19,12,4638
66,1789-11-21,12,5330
67,1789-11-24,19,6886
68,1789-11-26,29,6011
69,1789-11-28,24,7175
70,1789-12-01,21,6160
71,1789-12-03,23,5254
72,1789-12-05,11,3928
73,1789-12-07,4,3115
74,1789-12-09,12,2391
75,1789-12-10,25,7250
76,1789-12-12,19,7247
77,1789-12-15,20,4996
78,1789-12-17,23,6113
79,1789-12-19,6,2369
80,1789-12-21,5,1919
81,1789-12-22,15,4494
82,1789-12-24,32,6519
83,1789-12-28,16,3894
84,1789-12-29,20,5282
85,1789-12-31,9,2184
86,1790-01-01,11,1898
87,1790-01-02,20,4919
88,1790-01-04,14,3253
89,1790-01-05,7,2063
90,1790-01-07,12,5049
91,1790-01-09,13,2238
92,1790-01-11,3,1077
93,1790-01-12,6,2248
94,1790-01-13,10,1646
95,1790-01-14,6,2661
96,1790-01-15,6,1930
97,1790-01-16,11,4665
98,1790-01-19,8,2855
99,1790-01-20,8,2211
100,1790-01-21,13,4405
101,1790-01-22,13,3304
102,1790-01-23,12,4858
103,1790-01-26,11,5663
104,1790-01-28,6,3331
105,1790-01-29,7,2798
106,1790-01-30,5,3842
107,1790-02-02,10,2176
108,1790-02-03,10,2941
109,1790-02-04,3,1790
110,1790-02-05,2,2181
111,1790-02-06,12,4797
112,1790-02-07,4,2929
113,1790-02-09,9,4975
114,1790-02-11,11,5096
115,1790-02-13,6,1865
116,1790-02-15,11,2091
117,1790-02-16,9,2709
118,1790-02-17,3,897
119,1790-02-18,15,3512
120,1790-02-20,25,5760
121,1790-02-23,7,1933
122,1790-02-24,0,1487
123,1790-02-25,14,5593
124,1790-02-27,7,4256
125,1790-03-01,10,2607
126,1790-03-02,4,1864
127,1790-03-03,10,1634
128,1790-03-04,20,3965
129,1790-03-05,6,2305
130,1790-03-06,2,2823
131,1790-03-07,5,1491
132,1790-03-08,4,2232
133,1790-03-09,9,2996
134,1790-03-10,10,1652
135,1790-03-11,19,3907
136,1790-03-12,1,876
137,1790-03-13,9,3790
138,1790-03-14,2,1190
139,1790-03-15,6,1615
140,1790-03-16,10,2156
141,1790-03-17,14,1928
142,1790-03-18,8,4573
143,1790-03-19,10,1649
144,1790-03-20,15,3892
145,1790-03-21,8,2000
146,1790-03-22,2,2819
147,1790-03-23,13,3752
148,1790-03-24,2,1056
149,1790-03-25,7,2849
150,1790-03-26,13,2324
151,1790-03-27,21,6386
152,1790-03-28,14,1925
153,1790-03-29,16,2433
154,1790-03-30,15,3364
155,1790-03-31,11,1882
156,1790-04-01,1,828
157,1790-04-02,4,1265
158,1790-04-03,5,1435
159,1790-04-05,10,1593
160,1790-04-06,5,1179
161,1790-04-07,11,2272
162,1790-04-08,15,4072
163,1790-04-09,3,3414
164,1790-04-10,14,6383
165,1790-04-11,6,1658
166,1790-04-12,14,2882
167,1790-04-13,31,3607
168,1790-04-14,10,2835
169,1790-04-15,26,6393
170,1790-04-17,20,6616
171,1790-04-18,11,3804
172,1790-04-20,16,7338
173,1790-04-22,19,8631
174,1790-04-24,15,6372
175,1790-04-26,7,2175
176,1790-04-27,12,4025
177,1790-04-28,4,2039
178,1790-04-29,26,5763
179,1790-05-01,15,4488
180,1790-05-03,8,3205
181,1790-05-04,12,4318
182,1790-05-05,1,2272
183,1790-05-06,28,6399
184,1790-05-07,15,3935
185,1790-05-08,6,3199
186,1790-05-10,31,7275
187,1790-05-11,11,5072
188,1790-05-12,0,955
189,1790-05-13,11,1865
190,1790-05-14,17,7938
191,1790-05-15,7,2140
192,1790-05-17,16,6787
