,date,pas,total
0,1908-03-21,66,22874
1,1908-03-22,87,25204
2,1908-03-23,98,25456
3,1908-03-24,94,25573
4,1908-03-25,117,25515
5,1908-03-26,114,25642
6,1908-03-27,97,24414
7,1908-03-28,110,25648
8,1908-03-29,126,25562
9,1908-03-30,102,24461
10,1908-03-31,124,25732
11,1908-04-01,113,24347
12,1908-04-02,118,25286
13,1908-04-03,124,25094
14,1908-04-04,111,25027
15,1908-04-05,111,24740
16,1908-04-06,127,25112
17,1908-04-07,113,26708
18,1908-04-08,167,26393
19,1908-04-09,135,25597
20,1908-04-10,96,25432
21,1908-04-11,98,25883
22,1908-04-12,111,25135
23,1908-04-13,102,25222
24,1908-04-14,110,26277
25,1908-04-15,74,25221
26,1908-04-16,117,25552
27,1908-04-17,95,26276
28,1908-04-18,103,25241
29,1908-04-19,102,26061
30,1908-04-20,106,26541
31,1908-04-21,105,24351
32,1908-04-22,95,26803
33,1908-04-23,106,25494
34,1908-04-24,89,25828
35,1908-04-25,98,24868
36,1908-04-26,101,25053
37,1908-04-27,118,24315
38,1908-04-28,100,25523
39,1908-04-29,100,26011
40,1908-04-30,110,26119
41,1908-05-01,111,25991
42,1908-05-02,85,26020
43,1908-05-03,124,25579
44,1908-05-04,120,25351
45,1908-05-05,131,25879
46,1908-05-06,99,25605
47,1908-05-07,115,25345
48,1908-05-08,110,26247
49,1908-05-09,106,25809
50,1908-05-10,87,25133
51,1908-05-11,110,25358
52,1908-05-12,119,25719
53,1908-05-13,101,25736
54,1908-05-14,128,24944
55,1908-05-15,90,23547
56,1908-05-16,85,24891
57,1908-05-17,109,25147
58,1908-05-18,97,25752
59,1908-05-19,104,25483
60,1908-05-20,109,26063
61,1908-05-21,99,25774
62,1908-05-22,139,25372
63,1908-05-23,100,26827
64,1908-05-24,102,25460
65,1908-05-25,92,23465
66,1908-05-26,126,25796
67,1908-05-27,107,26121
68,1908-05-28,113,25802
69,1908-05-29,124,26373
70,1908-05-30,83,25909
71,1908-05-31,113,25776
72,1908-06-01,115,26308
73,1908-06-02,114,26218
74,1908-06-03,112,26944
75,1908-06-04,91,26953
76,1908-06-05,94,24541
77,1908-06-07,92,26352
78,1908-06-08,124,25782
79,1908-06-09,124,23762
80,1908-06-10,111,26410
81,1908-06-11,117,26018
82,1908-06-12,102,26256
83,1908-06-13,95,26099
84,1908-06-14,108,25594
85,1908-06-15,118,26319
86,1908-06-16,107,25628
87,1908-06-17,101,26073
88,1908-06-18,107,25818
89,1908-06-19,100,26339
90,1908-06-20,102,26479
91,1908-06-21,104,25998
92,1908-06-22,134,26114
93,1908-06-23,113,26424
94,1908-06-24,103,26252
95,1908-06-25,111,26355
96,1908-06-26,165,26747
97,1908-06-27,110,27653
98,1908-06-28,137,26822
99,1908-06-29,94,26621
100,1908-06-30,125,26137
101,1908-07-01,91,26575
102,1908-07-02,116,27322
103,1908-07-03,109,26187
104,1908-07-04,102,25196
105,1908-07-05,94,26338
106,1908-07-06,117,26481
107,1908-07-08,109,26688
108,1908-07-09,102,24651
109,1908-07-10,110,26426
110,1908-07-11,74,26363
111,1908-07-12,88,26526
112,1908-07-14,108,26829
113,1908-07-16,114,26593
114,1908-07-18,107,26583
115,1908-07-20,120,25994
116,1908-07-21,116,26182
117,1908-07-22,110,26673
118,1908-07-23,92,27524
119,1908-07-24,101,26193
120,1908-07-25,96,26678
121,1908-07-26,125,25627
122,1908-07-28,119,25206
123,1908-07-29,90,25741
124,1908-07-30,146,26251
125,1908-07-31,79,24602
126,1908-08-01,136,26124
127,1908-08-03,92,21741
128,1908-08-04,132,25482
129,1908-08-05,114,25733
130,1908-08-06,97,25197
131,1908-08-07,70,24764
132,1908-08-08,107,25788
133,1908-08-09,88,25164
134,1908-08-11,115,25216
135,1908-08-12,117,25977
136,1908-08-13,89,26375
137,1908-08-14,100,24737
138,1908-08-15,191,31146
139,1908-08-16,91,23194
140,1908-08-17,93,26435
141,1908-08-18,132,25960
142,1908-08-19,100,25759
143,1908-08-20,88,25974
144,1908-08-21,105,25191
145,1908-08-22,111,25789
146,1908-08-23,95,25426
147,1908-08-24,105,26507
148,1908-08-25,111,25714
149,1908-08-26,98,24701
150,1908-08-27,78,26183
151,1908-08-28,123,25213
152,1908-08-29,123,25598
153,1908-08-30,109,24739
154,1908-08-31,117,24428
155,1908-09-01,101,25893
156,1908-09-02,103,26080
157,1908-09-03,118,25974
158,1908-09-04,98,25842
159,1908-09-05,109,25978
160,1908-09-06,123,24990
