,date,pas,total
0,1881-01-11,55,5563
1,1881-01-20,46,6361
2,1881-01-21,258,23930
3,1881-01-22,225,21854
4,1881-01-24,259,28313
5,1881-01-25,286,26444
6,1881-01-27,280,38727
7,1881-01-31,308,33474
8,1881-02-01,244,33016
9,1881-02-03,144,16681
10,1881-02-05,318,35390
11,1881-02-07,238,28690
12,1881-02-08,271,27240
13,1881-02-10,362,33143
14,1881-02-12,156,21921
15,1881-02-14,305,33857
16,1881-02-15,316,36934
17,1881-02-17,189,24516
18,1881-02-19,360,35554
19,1881-02-21,136,14881
20,1881-02-22,379,35297
21,1881-02-24,264,34557
22,1881-02-26,350,35785
23,1881-03-03,300,32776
24,1881-03-05,296,36155
25,1881-03-07,262,32324
26,1881-03-08,240,32818
27,1881-03-10,299,37700
28,1881-03-12,343,39718
29,1881-03-14,3,1243
30,1881-03-15,349,39314
31,1881-03-17,404,41824
32,1881-03-19,340,39107
33,1881-03-21,323,32531
34,1881-03-22,195,27772
35,1881-03-24,255,32648
36,1881-03-26,239,23097
37,1881-03-28,353,31438
38,1881-03-29,323,39858
39,1881-03-31,385,41067
40,1881-04-02,181,26706
41,1881-04-04,232,38333
42,1881-04-05,266,41636
43,1881-04-07,346,39620
44,1881-04-09,244,38919
45,1881-04-11,364,40112
46,1881-04-12,309,36369
47,1881-05-12,40,7047
48,1881-05-14,228,25931
49,1881-05-16,187,20375
50,1881-05-17,317,26382
51,1881-05-19,301,34608
52,1881-05-23,395,36161
53,1881-05-24,315,34684
54,1881-05-27,273,33287
55,1881-05-28,272,30587
56,1881-05-30,247,27315
57,1881-06-01,357,32529
58,1881-06-03,237,29527
59,1881-06-05,334,29177
60,1881-06-08,320,40725
61,1881-06-10,287,39061
62,1881-06-12,225,30568
63,1881-06-14,226,27173
64,1881-06-15,334,38560
65,1881-06-17,411,50839
66,1881-06-18,208,29637
67,1881-06-19,132,18858
68,1881-06-21,392,35822
69,1881-06-22,256,31120
70,1881-06-24,261,34855
71,1881-06-26,234,31641
72,1881-06-28,365,43900
73,1881-06-29,326,41985
74,1881-07-01,354,41425
75,1881-07-03,305,35895
76,1881-07-05,262,34046
77,1881-07-06,275,32967
78,1881-07-07,296,29742
79,1881-07-08,324,34342
80,1881-07-09,250,32771
81,1881-07-10,319,39438
82,1881-07-12,311,45172
83,1881-07-13,298,39200
84,1881-07-19,299,33828
85,1881-07-20,215,31023
86,1881-07-24,274,44310
87,1881-07-25,375,45411
88,1881-07-26,209,31561
89,1881-07-27,272,37683
90,1881-07-29,173,37231
91,1881-07-30,40,12761
92,1881-10-29,34,5046
93,1881-10-30,43,63151
94,1881-11-01,50,20700
95,1881-11-04,12,2315
96,1881-11-05,31,9808
97,1881-11-06,257,28795
98,1881-11-08,269,28462
99,1881-11-09,306,30656
100,1881-11-10,345,42203
101,1881-11-12,85,16146
102,1881-11-15,140,16112
103,1881-11-16,130,16244
104,1881-11-18,140,17442
105,1881-11-20,242,23242
106,1881-11-22,73,11265
107,1881-11-25,200,23375
108,1881-11-27,49,11935
109,1881-11-29,120,14842
110,1881-11-30,6,2136
111,1881-12-02,337,37708
112,1881-12-04,322,37327
113,1881-12-06,215,25103
114,1881-12-07,14,3603
115,1881-12-09,298,33080
116,1881-12-10,256,29921
117,1881-12-11,202,25056
118,1881-12-14,139,22657
119,1881-12-15,65,15739
120,1881-12-17,28,79793
121,1882-01-10,21,3757
122,1882-01-12,7,1575
123,1882-01-14,56,11965
124,1882-01-16,25,8448
125,1882-01-19,20,5841
126,1882-01-21,51,6346
127,1882-01-23,44,8268
128,1882-01-26,434,44379
129,1882-01-30,28,7760
130,1882-01-31,50,9189
131,1882-02-02,79,12398
132,1882-02-06,160,18783
133,1882-02-07,199,21485
134,1882-02-11,114,15020
135,1882-02-13,253,29712
136,1882-02-16,190,27261
137,1882-02-23,236,30520
138,1882-02-25,89,14922
139,1882-02-28,27,7212
140,1882-03-02,59,10813
141,1882-03-04,272,35286
142,1882-03-06,188,22001
143,1882-03-07,136,19928
144,1882-03-09,322,36745
145,1882-03-11,192,28785
146,1882-03-13,248,29282
147,1882-03-14,130,15911
148,1882-03-16,149,20308
149,1882-03-18,98,12073
150,1882-03-20,56,9536
151,1882-03-21,229,22675
152,1882-03-25,219,31459
153,1882-03-27,257,24074
154,1882-03-28,380,44022
155,1882-03-30,176,22155
156,1882-03-31,110,18483
157,1882-04-01,22,4884
158,1882-05-02,31,9165
159,1882-05-03,32,9148
160,1882-05-04,269,36692
161,1882-05-06,236,24698
162,1882-05-08,224,27381
163,1882-05-09,405,38497
164,1882-05-11,286,29360
165,1882-05-13,222,23908
166,1882-05-15,196,23053
167,1882-05-16,66,11391
168,1882-05-20,43,12559
169,1882-05-22,314,36444
170,1882-05-23,377,39607
171,1882-05-25,284,38695
172,1882-05-27,292,33017
173,1882-05-30,326,34312
174,1882-06-01,326,38847
175,1882-06-03,36,5113
176,1882-06-05,362,36945
177,1882-06-06,353,35865
178,1882-06-08,306,32078
179,1882-06-10,165,21165
180,1882-06-12,212,33923
181,1882-06-13,368,31280
182,1882-06-15,302,29407
183,1882-06-17,231,32390
184,1882-06-19,229,29365
185,1882-06-20,298,31186
186,1882-06-22,274,28435
187,1882-06-24,237,31353
188,1882-06-26,205,30450
189,1882-06-27,245,35587
190,1882-06-29,306,35766
191,1882-07-01,343,37456
192,1882-07-03,214,34132
193,1882-07-04,292,33932
194,1882-07-06,179,20533
195,1882-07-08,192,30163
196,1882-07-10,301,31426
197,1882-07-11,278,34640
198,1882-07-12,313,35144
199,1882-07-17,344,44657
200,1882-07-18,287,37117
201,1882-07-19,227,23729
202,1882-07-20,152,20167
203,1882-07-21,272,24728
204,1882-07-22,281,28860
205,1882-07-24,397,39088
206,1882-07-25,336,33109
207,1882-07-26,374,33362
208,1882-07-27,242,26175
209,1882-07-28,235,28514
210,1882-07-29,335,32478
211,1882-07-31,44,10362
212,1882-08-03,28,10087
213,1882-08-05,26,6564
214,1882-08-07,35,6703
215,1882-08-08,59,7809
216,1882-08-09,0,711
217,1882-11-09,18,5611
218,1882-11-11,240,27862
219,1882-11-13,272,34083
220,1882-11-14,274,30876
221,1882-11-16,265,33518
222,1882-11-18,127,21622
223,1882-11-20,287,38137
224,1882-11-21,267,31316
225,1882-11-23,234,28778
226,1882-11-25,346,36702
227,1882-11-27,299,28524
228,1882-11-28,313,32153
229,1882-11-30,291,32363
230,1882-12-01,413,38621
231,1882-12-02,241,32311
232,1882-12-04,350,36848
233,1882-12-05,342,38752
234,1882-12-06,378,38638
235,1882-12-07,421,42791
236,1882-12-08,367,43538
237,1882-12-11,319,33854
238,1882-12-13,283,27119
239,1882-12-14,335,27016
240,1882-12-15,232,33078
241,1882-12-16,302,33886
242,1882-12-18,264,34518
243,1882-12-19,361,37197
244,1882-12-21,259,34237
245,1882-12-22,204,35056
246,1882-12-23,504,48825
247,1882-12-26,404,37708
248,1882-12-27,303,33604
249,1882-12-28,161,29803
250,1882-12-29,4,1692
251,1883-01-09,21,4514
252,1883-01-11,64,10453
253,1883-01-13,49,8421
254,1883-01-15,246,26581
255,1883-01-16,185,31927
256,1883-01-18,335,27997
257,1883-01-20,258,25798
258,1883-01-22,303,27391
259,1883-01-23,227,15615
260,1883-01-25,369,34555
261,1883-01-27,303,27099
262,1883-01-29,408,34126
263,1883-01-30,175,20064
264,1883-02-01,520,58710
265,1883-02-08,277,34057
266,1883-02-10,168,20277
267,1883-02-12,217,27938
268,1883-02-13,248,28698
269,1883-02-15,242,30125
270,1883-02-17,192,23085
271,1883-02-19,13,715
272,1883-02-22,64,9709
273,1883-02-24,360,34550
274,1883-02-26,232,27870
275,1883-02-27,240,29756
276,1883-03-01,234,34562
277,1883-03-03,226,23175
278,1883-03-05,339,33995
279,1883-03-06,443,37725
280,1883-03-08,304,31476
281,1883-03-10,246,32756
282,1883-03-12,274,28107
283,1883-03-13,206,31833
284,1883-03-15,300,37734
285,1883-03-17,288,42172
286,1883-03-19,422,39805
287,1883-04-19,202,25806
288,1883-04-21,251,26622
289,1883-04-23,361,35347
290,1883-04-24,541,63460
291,1883-04-26,241,26708
292,1883-04-28,408,37893
293,1883-04-30,243,25041
294,1883-05-01,238,31331
295,1883-05-07,255,32452
296,1883-05-08,57,4929
297,1883-05-10,202,28463
298,1883-05-12,324,32137
299,1883-05-15,352,31540
300,1883-05-17,294,32150
301,1883-05-19,306,40013
302,1883-05-21,388,44431
303,1883-05-22,283,33096
304,1883-05-24,239,27313
305,1883-05-26,221,24569
306,1883-05-28,299,33194
307,1883-05-29,237,30799
308,1883-05-31,320,29651
309,1883-06-02,317,31228
310,1883-06-04,319,33175
311,1883-06-05,159,24911
312,1883-06-07,303,34273
313,1883-06-09,286,27278
314,1883-06-11,317,30201
315,1883-06-12,316,38797
316,1883-06-14,308,32202
317,1883-06-16,297,31779
318,1883-06-18,252,26927
319,1883-06-19,272,35298
320,1883-06-21,282,33917
321,1883-06-22,273,36520
322,1883-06-23,203,26063
323,1883-06-25,321,31207
324,1883-06-26,237,25527
325,1883-06-28,348,35514
326,1883-06-29,274,25802
327,1883-06-30,282,29308
328,1883-07-02,273,35034
329,1883-07-03,305,37287
330,1883-07-05,298,34711
331,1883-07-06,233,32755
332,1883-07-07,283,32267
333,1883-07-09,303,28353
334,1883-07-10,310,32562
335,1883-07-12,341,30019
336,1883-07-16,360,33195
337,1883-07-17,235,28994
338,1883-07-19,294,26997
339,1883-07-20,383,39200
340,1883-07-21,281,34963
341,1883-07-23,410,38869
342,1883-07-24,348,42342
343,1883-07-25,447,42035
344,1883-07-26,331,42609
345,1883-07-27,345,44707
346,1883-07-28,302,38194
347,1883-07-30,448,51049
348,1883-07-31,372,44642
349,1883-08-01,338,44178
350,1883-08-02,271,31656
351,1883-10-23,53,7941
352,1883-10-25,312,35765
353,1883-10-27,286,36537
354,1883-10-29,192,24426
355,1883-10-30,307,27293
356,1883-10-31,458,34319
357,1883-11-05,269,31307
358,1883-11-06,310,33074
359,1883-11-08,301,33542
360,1883-11-10,222,25337
361,1883-11-12,345,45181
362,1883-11-13,240,34578
363,1883-11-15,228,25524
364,1883-11-17,192,24979
365,1883-11-19,363,33144
366,1883-11-20,288,30839
367,1883-11-22,365,31982
368,1883-11-23,290,40570
369,1883-11-24,444,42681
370,1883-11-26,314,26855
371,1883-11-27,336,29549
372,1883-11-28,253,29147
373,1883-11-29,328,34773
374,1883-11-30,299,26790
375,1883-12-01,266,30847
376,1883-12-03,256,34985
377,1883-12-04,326,36815
378,1883-12-05,235,27805
379,1883-12-06,312,31356
380,1883-12-07,300,29057
381,1883-12-08,252,27033
382,1883-12-10,431,42845
383,1883-12-11,332,37448
384,1883-12-12,293,35834
385,1883-12-13,302,35597
386,1883-12-14,298,32572
387,1883-12-15,349,40442
388,1883-12-17,301,36935
389,1883-12-18,371,37442
390,1883-12-19,199,25618
391,1883-12-20,242,31180
392,1883-12-22,251,29877
393,1883-12-27,298,30926
394,1883-12-28,289,33644
395,1883-12-29,238,32599
396,1884-01-08,23,4225
397,1884-01-10,5,1416
398,1884-01-12,31,7173
399,1884-01-14,284,32648
400,1884-01-15,220,29043
401,1884-01-17,327,39541
402,1884-01-18,225,28024
403,1884-01-19,315,34114
404,1884-01-21,233,29093
405,1884-01-22,229,22370
406,1884-01-24,213,22227
407,1884-01-25,270,27255
408,1884-01-26,357,30164
409,1884-01-28,232,24854
410,1884-01-29,193,22281
411,1884-01-31,402,43011
412,1884-02-02,322,33209
413,1884-02-04,260,36562
414,1884-02-05,321,38278
415,1884-02-07,104,17107
416,1884-02-09,319,32643
417,1884-02-11,375,34088
418,1884-02-12,206,20984
419,1884-02-14,202,26615
420,1884-02-16,166,25383
421,1884-02-18,187,25264
422,1884-02-19,267,33324
423,1884-02-21,282,29804
424,1884-02-23,274,33860
425,1884-02-28,286,31454
426,1884-02-29,367,35473
427,1884-03-01,192,25623
428,1884-03-03,235,31943
429,1884-03-04,291,35606
430,1884-03-06,234,30419
431,1884-03-08,255,34360
432,1884-03-10,254,33782
433,1884-03-11,249,29040
434,1884-03-13,249,34949
435,1884-03-15,230,31787
436,1884-03-17,225,29483
437,1884-03-18,303,42892
438,1884-03-20,221,31870
439,1884-03-21,218,40119
440,1884-03-22,111,17562
441,1884-03-24,215,24722
442,1884-03-26,166,21546
443,1884-03-27,307,33977
444,1884-03-29,133,18620
445,1884-03-31,283,42096
446,1884-04-01,260,37219
447,1884-04-03,171,28498
448,1884-04-05,228,29835
449,1884-04-07,190,27779
450,1884-04-08,207,27229
451,1884-05-20,17,6227
452,1884-05-23,209,29622
453,1884-05-24,213,29528
454,1884-05-26,232,29175
455,1884-05-27,253,30655
456,1884-05-29,93,14121
457,1884-05-31,275,30979
458,1884-06-03,198,27359
459,1884-06-05,289,30737
460,1884-06-07,396,44911
461,1884-06-09,219,28482
462,1884-06-10,358,38676
463,1884-06-12,303,33841
464,1884-06-14,250,26568
465,1884-06-16,227,32265
466,1884-06-17,245,30291
467,1884-06-19,239,33768
468,1884-06-21,279,38859
469,1884-06-23,196,24078
470,1884-06-24,231,25176
471,1884-06-26,267,36360
472,1884-06-28,3,7983
473,1884-06-30,348,33365
474,1884-07-01,277,33350
475,1884-07-03,344,33864
476,1884-07-05,182,24646
477,1884-07-07,297,41257
478,1884-07-08,369,37324
479,1884-07-10,344,35889
480,1884-07-12,227,31079
481,1884-07-15,233,30011
482,1884-07-17,292,36475
483,1884-07-18,376,36020
484,1884-07-19,243,28026
485,1884-07-21,405,40715
486,1884-07-22,221,27786
487,1884-07-24,256,27873
488,1884-07-26,326,47777
489,1884-07-28,292,29627
490,1884-07-29,211,23660
491,1884-07-30,165,21422
492,1884-07-31,224,31529
493,1884-08-02,396,35564
494,1884-08-14,238,30785
495,1884-08-15,304,31446
496,1884-08-16,157,18559
497,1884-10-14,22,4649
498,1884-10-16,47,8395
499,1884-10-18,227,25172
500,1884-10-20,315,35439
501,1884-10-21,210,22691
502,1884-10-23,199,32189
503,1884-10-25,227,25801
504,1884-10-27,255,30467
505,1884-10-28,179,24282
506,1884-10-30,82,12381
507,1884-11-04,270,30477
508,1884-11-06,274,38387
509,1884-11-08,176,21699
510,1884-11-10,238,32833
511,1884-11-11,5,528
512,1884-11-12,255,30198
513,1884-11-13,156,18241
514,1884-11-14,342,35242
515,1884-11-15,262,26848
516,1884-11-17,264,34243
517,1884-11-18,208,27423
518,1884-11-20,203,23046
519,1884-11-21,363,30336
520,1884-11-22,429,36632
521,1884-11-24,237,26481
522,1884-11-25,283,30791
523,1884-11-26,206,23321
524,1884-11-27,276,30518
525,1884-11-28,139,17358
526,1884-11-29,104,14766
527,1884-12-01,238,28260
528,1884-12-02,231,28367
529,1884-12-04,291,37899
530,1884-12-05,273,36214
531,1884-12-06,277,36248
532,1884-12-08,248,36919
533,1884-12-09,188,29815
534,1884-12-10,250,32532
535,1884-12-11,248,34367
536,1884-12-12,294,39013
537,1884-12-13,296,44529
538,1884-12-15,408,50990
539,1884-12-16,129,19324
540,1884-12-17,561,58835
541,1884-12-18,284,36905
542,1884-12-19,414,59397
543,1884-12-20,435,68114
544,1884-12-26,42,11836
545,1884-12-27,24,9011
546,1884-12-29,244,30846
547,1885-01-13,26,4353
548,1885-01-14,134,16719
549,1885-01-27,402,34011
550,1885-01-29,269,31027
551,1885-01-31,284,34121
552,1885-02-02,250,32229
553,1885-02-03,254,30737
554,1885-02-05,310,33362
555,1885-02-07,265,32878
556,1885-02-09,345,35547
557,1885-02-10,223,26801
558,1885-02-12,253,29704
559,1885-02-14,245,26111
560,1885-02-19,224,31855
561,1885-02-21,279,36438
562,1885-02-23,162,29919
563,1885-02-25,213,21097
564,1885-02-26,88,17647
565,1885-02-28,194,27186
566,1885-03-02,278,42590
567,1885-03-03,186,31041
568,1885-03-05,246,33899
569,1885-03-07,251,36078
570,1885-03-09,285,28359
571,1885-03-10,193,32378
572,1885-03-12,160,31749
573,1885-03-14,338,38011
574,1885-03-16,309,31420
575,1885-03-17,204,36148
576,1885-03-19,360,32663
577,1885-03-21,282,31580
578,1885-03-23,265,26681
579,1885-03-24,119,21918
580,1885-03-26,229,31258
581,1885-03-28,254,29784
582,1885-03-30,51,9193
583,1885-03-31,44,7085
584,1885-04-01,20,3847
585,1885-04-02,33,5290
586,1885-04-04,1,379
587,1885-04-07,56,10592
588,1885-04-08,12,4866
589,1885-05-04,14,3551
590,1885-05-05,15,3010
591,1885-05-07,138,22972
592,1885-05-09,298,26995
593,1885-05-11,311,30157
594,1885-05-12,230,29766
595,1885-05-16,243,29777
596,1885-05-18,252,28648
597,1885-05-19,304,32652
598,1885-05-21,225,27247
599,1885-05-23,36,7074
600,1885-05-26,231,24655
601,1885-05-28,218,28314
602,1885-05-30,224,24928
603,1885-06-02,273,37203
604,1885-06-04,312,38728
605,1885-06-06,193,24787
606,1885-06-08,158,21398
607,1885-06-09,212,26546
608,1885-06-11,259,33906
609,1885-06-13,225,28998
610,1885-06-15,1,818
611,1885-06-16,295,36904
612,1885-06-18,238,36142
613,1885-06-20,243,32935
614,1885-06-22,213,31101
615,1885-06-23,240,24383
616,1885-06-25,223,34603
617,1885-06-27,62,12880
618,1885-06-29,224,32087
619,1885-06-30,235,29155
620,1885-07-02,204,30617
621,1885-07-04,144,29741
622,1885-07-06,274,32551
623,1885-07-07,247,31559
624,1885-07-09,303,36596
625,1885-07-10,387,39317
626,1885-07-11,441,46220
627,1885-07-13,325,34340
628,1885-07-15,329,37820
629,1885-07-16,277,39502
630,1885-07-17,180,25179
631,1885-07-20,244,37784
632,1885-07-21,338,36833
633,1885-07-23,343,47796
634,1885-07-25,290,30995
635,1885-07-27,203,38187
636,1885-07-28,233,23911
637,1885-07-30,289,30359
638,1885-08-01,110,17920
639,1885-08-03,312,42838
640,1885-08-04,327,46564
641,1885-08-05,288,39800
642,1885-08-06,16,2169
643,1885-11-10,17,4405
644,1885-11-12,29,17823
645,1885-11-13,26,7412
646,1885-11-14,10,3552
647,1885-11-16,27,4212
648,1885-11-19,161,24189
649,1885-11-21,138,16375
650,1885-11-23,315,35019
651,1885-11-26,141,26272
652,1885-11-28,191,24654
653,1885-11-30,18,3377
654,1885-12-03,34,9029
655,1885-12-05,236,29417
656,1885-12-07,287,33641
657,1885-12-10,192,28293
658,1885-12-12,92,20360
659,1885-12-14,268,27474
660,1885-12-15,393,48014
661,1885-12-17,176,30487
662,1885-12-19,227,30929
663,1885-12-21,391,36323
664,1885-12-22,283,33346
665,1885-12-23,248,28694
666,1885-12-24,551,54304
667,1885-12-28,77,6985
668,1885-12-29,99,29063
669,1886-01-12,19,5583
670,1886-01-14,16,3647
671,1886-01-16,135,16762
672,1886-01-21,234,28956
673,1886-01-23,261,27521
674,1886-01-25,28,4385
675,1886-01-28,164,20933
676,1886-02-01,283,40110
677,1886-02-02,232,26249
678,1886-02-04,138,18971
679,1886-02-06,229,26983
680,1886-02-08,276,32958
681,1886-02-09,122,17132
682,1886-02-11,399,43192
683,1886-02-15,235,28269
684,1886-02-18,213,27832
685,1886-02-20,227,30636
686,1886-02-22,213,29299
687,1886-02-23,161,28075
688,1886-02-25,609,61593
689,1886-03-01,303,31129
690,1886-03-02,174,29392
691,1886-03-04,382,40372
692,1886-03-11,289,35695
693,1886-03-13,255,43291
694,1886-03-15,199,28298
695,1886-03-16,170,20161
696,1886-03-18,216,29880
697,1886-03-20,177,32271
698,1886-03-22,255,29718
699,1886-03-23,229,27158
700,1886-03-27,124,21073
701,1886-03-29,243,28791
702,1886-03-30,308,37204
703,1886-04-03,243,37482
704,1886-04-05,280,37035
705,1886-04-06,259,29767
706,1886-04-08,339,44737
707,1886-04-10,370,37459
708,1886-04-12,278,39623
709,1886-04-13,336,40071
710,1886-04-15,203,33089
711,1886-04-17,205,35864
712,1886-04-19,204,29421
713,1886-04-20,312,40236
714,1886-04-21,171,28974
715,1886-05-25,235,30160
716,1886-05-27,191,22346
717,1886-05-29,211,25307
718,1886-05-31,274,33901
719,1886-06-01,156,23066
720,1886-06-07,269,40947
721,1886-06-08,201,28103
722,1886-06-10,311,32353
