date,count,base,mot,url,ratio,resolution,corpus,langue,bibli,search_mode
1789/12,0,424,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789/12/01%22%20and%20gallicapublication_date%3C=%221789/12/31%22),0,Mois,Presse,Français,Gallica,Document
1790/01,0,454,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/01/01%22%20and%20gallicapublication_date%3C=%221790/01/31%22),0,Mois,Presse,Français,Gallica,Document
1790/02,0,353,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/02/01%22%20and%20gallicapublication_date%3C=%221790/02/28%22),0,Mois,Presse,Français,Gallica,Document
1790/03,0,370,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/03/01%22%20and%20gallicapublication_date%3C=%221790/03/31%22),0,Mois,Presse,Français,Gallica,Document
1790/04,0,362,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/04/01%22%20and%20gallicapublication_date%3C=%221790/04/30%22),0,Mois,Presse,Français,Gallica,Document
1790/05,0,362,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/05/01%22%20and%20gallicapublication_date%3C=%221790/05/31%22),0,Mois,Presse,Français,Gallica,Document
1790/06,0,363,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/06/01%22%20and%20gallicapublication_date%3C=%221790/06/30%22),0,Mois,Presse,Français,Gallica,Document
1790/07,0,388,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/07/01%22%20and%20gallicapublication_date%3C=%221790/07/31%22),0,Mois,Presse,Français,Gallica,Document
1790/08,0,391,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/08/01%22%20and%20gallicapublication_date%3C=%221790/08/31%22),0,Mois,Presse,Français,Gallica,Document
1790/09,0,379,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/09/01%22%20and%20gallicapublication_date%3C=%221790/09/30%22),0,Mois,Presse,Français,Gallica,Document
1790/10,0,405,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/10/01%22%20and%20gallicapublication_date%3C=%221790/10/31%22),0,Mois,Presse,Français,Gallica,Document
1790/11,0,382,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/11/01%22%20and%20gallicapublication_date%3C=%221790/11/30%22),0,Mois,Presse,Français,Gallica,Document
1790/12,0,432,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790/12/01%22%20and%20gallicapublication_date%3C=%221790/12/31%22),0,Mois,Presse,Français,Gallica,Document
1791/01,0,593,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/01/01%22%20and%20gallicapublication_date%3C=%221791/01/31%22),0,Mois,Presse,Français,Gallica,Document
1791/02,0,469,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/02/01%22%20and%20gallicapublication_date%3C=%221791/02/28%22),0,Mois,Presse,Français,Gallica,Document
1791/03,0,567,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/03/01%22%20and%20gallicapublication_date%3C=%221791/03/31%22),0,Mois,Presse,Français,Gallica,Document
1791/04,0,560,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/04/01%22%20and%20gallicapublication_date%3C=%221791/04/30%22),0,Mois,Presse,Français,Gallica,Document
