,date,pas,total
0,1915-09-12,102,16569
1,1915-09-16,112,14705
2,1915-09-18,98,15410
3,1915-09-19,95,14577
4,1915-09-20,83,15178
5,1915-09-22,113,14992
6,1915-09-25,80,15653
7,1915-09-26,77,15015
8,1915-09-27,87,15078
9,1915-09-28,104,14031
10,1915-10-08,108,15491
11,1915-10-18,78,14481
12,1915-10-19,84,14832
13,1915-10-21,73,14519
14,1915-10-26,91,14528
15,1915-10-28,72,13549
16,1915-11-05,86,14214
17,1915-11-06,93,14486
18,1915-11-07,88,14550
19,1915-11-12,99,15407
20,1915-11-13,114,15427
21,1915-11-14,111,15285
22,1915-11-16,113,15415
23,1915-11-18,89,15147
24,1915-11-19,107,14764
25,1915-11-21,68,14761
26,1915-11-22,100,15709
27,1915-11-23,98,15630
28,1915-11-27,87,15243
29,1915-11-30,105,15418
30,1915-12-01,121,15897
31,1915-12-07,90,15489
32,1915-12-08,91,14769
33,1915-12-09,101,14647
34,1915-12-10,109,15163
35,1915-12-15,62,15224
36,1915-12-24,87,13605
37,1915-12-29,90,16229
38,1915-12-30,97,15682
39,1915-12-31,94,15512
40,1916-01-02,60,14098
41,1916-01-05,99,15657
42,1916-01-06,123,15817
43,1916-01-09,122,16108
44,1916-01-11,90,15560
45,1916-01-12,95,14085
46,1916-01-14,78,15756
47,1916-01-18,99,14464
48,1916-01-20,112,14700
49,1916-01-22,101,14831
50,1916-01-27,124,15551
51,1916-01-28,97,14926
52,1916-01-29,93,14593
53,1916-02-06,117,14030
54,1916-02-07,108,13961
55,1916-02-13,89,14881
56,1916-02-16,76,14242
57,1916-02-20,106,13639
58,1916-02-21,105,15295
59,1916-02-23,90,16116
60,1916-03-01,59,14746
61,1916-03-05,78,13826
62,1916-03-13,93,14198
63,1916-03-14,84,13593
64,1916-03-21,92,14730
65,1916-03-22,89,15036
66,1916-03-27,88,15111
67,1916-03-28,110,14143
68,1916-03-30,112,15016
69,1916-03-31,87,15175
70,1916-04-02,77,14004
71,1916-04-05,87,14710
72,1916-04-07,99,15089
73,1916-04-09,109,14756
74,1916-04-14,105,14918
75,1916-04-15,90,14831
76,1916-04-16,89,14685
77,1916-04-19,130,14157
78,1916-04-27,90,14716
79,1916-05-01,78,15346
80,1916-05-02,99,15229
81,1916-05-04,71,13853
82,1916-05-09,70,14611
83,1916-05-10,71,13661
84,1916-05-11,91,14696
85,1916-05-13,92,13686
86,1916-05-18,88,14195
87,1916-05-29,104,15122
88,1916-05-31,100,15112
89,1916-06-02,83,15841
90,1916-06-09,80,14920
91,1916-06-10,84,15120
92,1916-06-12,73,14606
93,1916-06-13,88,15795
94,1916-06-16,95,15856
95,1916-06-17,108,14887
96,1916-06-20,97,15200
97,1916-06-28,84,14958
98,1916-07-02,58,12830
99,1916-07-04,64,14055
100,1916-07-08,75,14412
101,1916-07-10,72,13759
102,1916-07-11,68,14371
103,1916-07-19,94,14808
104,1916-07-20,99,14667
105,1916-07-21,91,13906
106,1916-07-23,96,13823
107,1916-07-26,68,14257
108,1916-07-27,70,14413
109,1916-07-28,96,14967
110,1916-07-30,84,14148
111,1916-07-31,88,15039
112,1916-08-01,97,14639
113,1916-08-04,95,15088
114,1916-08-05,62,13995
115,1916-08-07,91,14313
116,1916-08-13,91,13966
117,1916-08-15,90,15172
