,date,pas,total,year,month
220,1789-06-30,12,3562,1789,6
242,1789-07-01,12,6285,1789,7
55,1789-07-02,20,2981,1789,7
52,1789-07-03,26,3803,1789,7
116,1789-07-04,36,6641,1789,7
121,1789-07-06,29,5435,1789,7
94,1789-07-07,45,7740,1789,7
153,1789-07-08,27,5660,1789,7
59,1789-07-09,41,6236,1789,7
20,1789-07-10,18,2220,1789,7
68,1789-07-11,26,4073,1789,7
131,1789-07-13,41,7948,1789,7
238,1789-07-14,11,4804,1789,7
210,1789-07-15,12,3286,1789,7
169,1789-07-16,38,8498,1789,7
241,1789-07-17,4,1919,1789,7
245,1789-07-18,1,1057,1789,7
154,1789-07-20,32,6796,1789,7
106,1789-07-21,37,6718,1789,7
228,1789-07-23,20,6729,1789,7
26,1789-07-24,49,6255,1789,7
180,1789-07-25,25,5885,1789,7
198,1789-07-27,50,13125,1789,7
143,1789-07-28,36,7252,1789,7
173,1789-07-29,44,10119,1789,7
217,1789-07-30,5,1449,1789,7
123,1789-07-31,40,7539,1789,7
87,1789-08-01,108,18174,1789,8
127,1789-08-03,47,9018,1789,8
206,1789-08-04,47,12570,1789,8
230,1789-08-05,8,2722,1789,8
81,1789-08-06,28,4562,1789,8
42,1789-08-07,53,7474,1789,8
33,1789-08-08,71,9434,1789,8
128,1789-08-09,20,3847,1789,8
7,1789-08-10,190,21100,1789,8
207,1789-08-11,19,5087,1789,8
63,1789-08-12,249,38144,1789,8
226,1789-08-13,8,2617,1789,8
233,1789-08-14,6,2190,1789,8
102,1789-08-17,88,15435,1789,8
8,1789-08-18,54,6017,1789,8
76,1789-08-19,38,6129,1789,8
215,1789-08-20,8,2273,1789,8
108,1789-08-21,38,6911,1789,8
40,1789-08-22,36,5035,1789,8
3,1789-08-23,80,7573,1789,8
124,1789-08-24,28,5319,1789,8
28,1789-08-26,25,3274,1789,8
74,1789-08-27,101,16264,1789,8
216,1789-08-28,16,4557,1789,8
11,1789-08-29,31,3567,1789,8
79,1789-08-31,117,19036,1789,8
18,1789-09-01,136,16554,1789,9
188,1789-09-02,34,8429,1789,9
71,1789-09-03,34,5429,1789,9
5,1789-09-04,266,29160,1789,9
19,1789-09-05,83,10233,1789,9
54,1789-09-07,111,16293,1789,9
132,1789-09-09,19,3686,1789,9
22,1789-09-11,63,7931,1789,9
149,1789-09-12,110,22720,1789,9
1,1789-09-14,67,5961,1789,9
73,1789-09-15,123,19749,1789,9
