,date,pas,total,year,month
107,1789-09-16,137,24894,1789,9
86,1789-09-17,30,5035,1789,9
91,1789-09-18,87,14853,1789,9
172,1789-09-19,55,12446,1789,9
38,1789-09-21,356,48964,1789,9
43,1789-09-22,197,27920,1789,9
239,1789-09-23,41,17978,1789,9
134,1789-09-24,265,51700,1789,9
120,1789-09-25,26,4858,1789,9
34,1789-09-26,84,11321,1789,9
66,1789-09-28,35,5457,1789,9
211,1789-09-29,68,18653,1789,9
204,1789-09-30,29,7708,1789,9
147,1789-10-01,40,8167,1789,10
218,1789-10-02,323,93610,1789,10
194,1789-10-03,24,6252,1789,10
61,1789-10-05,44,6705,1789,10
243,1789-10-06,59,31942,1789,10
146,1789-10-07,15,3053,1789,10
189,1789-10-08,23,5714,1789,10
148,1789-10-09,44,9057,1789,10
170,1789-10-10,57,12847,1789,10
51,1789-10-12,47,6855,1789,10
58,1789-10-13,201,30524,1789,10
89,1789-10-14,58,9826,1789,10
221,1789-10-15,25,7482,1789,10
201,1789-10-19,44,11650,1789,10
97,1789-10-20,19,3304,1789,10
183,1789-10-21,24,5724,1789,10
114,1789-10-22,39,7143,1789,10
50,1789-10-23,439,63531,1789,10
184,1789-10-24,172,41063,1789,10
32,1789-10-26,331,43725,1789,10
138,1789-10-27,24,4748,1789,10
6,1789-10-28,41,4549,1789,10
53,1789-10-29,23,3373,1789,10
27,1789-10-30,104,13481,1789,10
4,1789-10-31,188,18965,1789,10
14,1789-11-02,221,26467,1789,11
67,1789-11-03,126,19713,1789,11
37,1789-11-04,69,9480,1789,11
117,1789-11-05,142,26302,1789,11
16,1789-11-06,105,12585,1789,11
150,1789-11-07,35,7254,1789,11
125,1789-11-09,51,9723,1789,11
25,1789-11-10,104,13266,1789,11
30,1789-11-11,144,18964,1789,11
104,1789-11-12,249,44545,1789,11
214,1789-11-13,50,14083,1789,11
197,1789-11-14,48,12594,1789,11
208,1789-11-16,36,9660,1789,11
95,1789-11-17,71,12237,1789,11
227,1789-11-18,45,14852,1789,11
165,1789-11-19,67,14719,1789,11
85,1789-11-20,212,35106,1789,11
232,1789-11-21,194,67655,1789,11
229,1789-11-24,15,5099,1789,11
168,1789-11-25,28,6203,1789,11
187,1789-11-26,38,9319,1789,11
145,1789-11-27,312,63471,1789,11
65,1789-11-28,102,15859,1789,11
171,1789-11-30,38,8589,1789,11
78,1789-12-01,73,11859,1789,12
191,1789-12-02,17,4257,1789,12
21,1789-12-03,51,6332,1789,12
174,1789-12-04,125,28807,1789,12
105,1789-12-05,116,20955,1789,12
177,1789-12-07,65,15141,1789,12
237,1789-12-08,62,26326,1789,12
129,1789-12-09,228,44062,1789,12
157,1789-12-10,48,10296,1789,12
122,1789-12-11,91,17112,1789,12
142,1789-12-12,272,54695,1789,12
236,1789-12-14,28,11815,1789,12
164,1789-12-15,196,42957,1789,12
190,1789-12-16,40,9955,1789,12
103,1789-12-17,207,36916,1789,12
70,1789-12-18,141,22497,1789,12
23,1789-12-19,130,16397,1789,12
56,1789-12-21,189,28587,1789,12
202,1789-12-22,154,40829,1789,12
113,1789-12-23,143,26178,1789,12
36,1789-12-24,220,29989,1789,12
261,1789-12-24,162,21715,1789,12
360,1789-12-26,24,4473,1789,12
176,1789-12-28,38,8846,1789,12
492,1789-12-29,37,9866,1789,12
415,1789-12-30,29,6338,1789,12
179,1789-12-31,48,11259,1789,12
203,1790-01-02,51,13548,1790,1
570,1790-01-03,71,7737,1790,1
419,1790-01-04,187,41111,1790,1
156,1790-01-07,28,5994,1790,1
487,1790-01-08,47,12338,1790,1
248,1790-01-09,223,25120,1790,1
219,1790-01-13,10,2963,1790,1
553,1790-01-14,12,5635,1790,1
521,1790-01-15,67,20361,1790,1
92,1790-01-16,148,25426,1790,1
225,1790-01-18,20,6432,1790,1
222,1790-01-19,73,22068,1790,1
88,1790-01-20,54,9093,1790,1
72,1790-01-21,137,21878,1790,1
60,1790-01-22,26,3961,1790,1
488,1790-01-23,117,30775,1790,1
130,1790-01-25,62,11992,1790,1
112,1790-01-26,151,27625,1790,1
382,1790-01-28,111,21999,1790,1
542,1790-01-29,40,14934,1790,1
182,1790-01-30,54,12801,1790,1
118,1790-02-01,52,9673,1790,2
133,1790-02-02,21,4087,1790,2
335,1790-02-03,43,7527,1790,2
196,1790-02-04,25,6559,1790,2
558,1790-02-05,9,5148,1790,2
436,1790-02-06,223,51600,1790,2
461,1790-02-07,40,9724,1790,2
75,1790-02-08,164,26419,1790,2
380,1790-02-09,117,23071,1790,2
265,1790-02-10,21,2936,1790,2
141,1790-02-11,188,37551,1790,2
10,1790-02-12,97,11025,1790,2
304,1790-02-13,83,13505,1790,2
501,1790-02-14,17,4668,1790,2
44,1790-02-15,69,9783,1790,2
413,1790-02-16,59,12783,1790,2
46,1790-02-17,137,19484,1790,2
310,1790-02-18,56,9210,1790,2
246,1790-02-19,58,4938,1790,2
368,1790-02-20,80,15260,1790,2
257,1790-02-22,102,13384,1790,2
251,1790-02-23,88,10541,1790,2
262,1790-02-24,21,2845,1790,2
456,1790-02-25,103,24797,1790,2
481,1790-02-26,52,13563,1790,2
529,1790-02-27,25,7934,1790,2
443,1790-02-28,150,35149,1790,2
57,1790-03-01,78,11810,1790,3
348,1790-03-01,90,16447,1790,3
90,1790-03-02,82,13914,1790,3
101,1790-03-03,16,2804,1790,3
192,1790-03-04,58,14725,1790,3
159,1790-03-05,78,16859,1790,3
167,1790-03-06,94,20694,1790,3
77,1790-03-08,192,31180,1790,3
98,1790-03-09,89,15498,1790,3
93,1790-03-10,48,8246,1790,3
115,1790-03-11,152,27914,1790,3
284,1790-03-11,162,24370,1790,3
110,1790-03-12,75,13685,1790,3
152,1790-03-13,52,10845,1790,3
2,1790-03-14,87,7996,1790,3
193,1790-03-15,80,20618,1790,3
136,1790-03-16,95,18638,1790,3
13,1790-03-17,70,8351,1790,3
213,1790-03-18,98,27279,1790,3
151,1790-03-19,109,22620,1790,3
231,1790-03-20,95,33026,1790,3
135,1790-03-21,30,5876,1790,3
111,1790-03-22,112,20477,1790,3
160,1790-03-23,160,34634,1790,3
47,1790-03-24,92,13137,1790,3
12,1790-03-26,59,6990,1790,3
158,1790-03-27,77,16537,1790,3
155,1790-03-28,112,23975,1790,3
96,1790-03-29,268,46307,1790,3
274,1790-03-30,192,27686,1790,3
48,1790-03-30,122,17553,1790,3
64,1790-04-01,41,6340,1790,4
83,1790-04-02,76,12475,1790,4
41,1790-04-03,303,42633,1790,4
17,1790-04-05,39,4704,1790,4
31,1790-04-06,145,19108,1790,4
62,1790-04-07,134,20488,1790,4
69,1790-04-08,131,20792,1790,4
144,1790-04-09,164,33169,1790,4
235,1790-04-10,93,36201,1790,4
99,1790-04-11,110,19170,1790,4
24,1790-04-12,247,31233,1790,4
82,1790-04-14,127,20813,1790,4
252,1790-04-15,298,35975,1790,4
290,1790-04-16,71,11019,1790,4
458,1790-04-17,50,12071,1790,4
463,1790-04-18,28,6848,1790,4
343,1790-04-19,199,35813,1790,4
477,1790-04-20,82,21041,1790,4
381,1790-04-21,75,14852,1790,4
534,1790-04-22,62,20523,1790,4
386,1790-04-23,67,13512,1790,4
509,1790-04-24,42,12064,1790,4
400,1790-04-25,14,2953,1790,4
288,1790-04-26,32,4917,1790,4
351,1790-04-27,117,21458,1790,4
279,1790-04-28,67,9830,1790,4
273,1790-04-29,117,16793,1790,4
291,1790-04-30,81,12653,1790,4
391,1790-05-01,23,4714,1790,5
250,1790-05-02,39,4486,1790,5
404,1790-05-03,98,20978,1790,5
344,1790-05-04,43,7801,1790,5
384,1790-05-05,101,20303,1790,5
345,1790-05-06,48,8715,1790,5
253,1790-05-07,119,14451,1790,5
181,1790-05-07,21,4956,1790,5
474,1790-05-08,74,18784,1790,5
544,1790-05-09,21,8157,1790,5
506,1790-05-10,16,4552,1790,5
489,1790-05-11,62,16349,1790,5
358,1790-05-12,56,10395,1790,5
378,1790-05-13,16,3153,1790,5
545,1790-05-14,29,11288,1790,5
293,1790-05-15,70,11099,1790,5
280,1790-05-16,46,6764,1790,5
369,1790-05-17,39,7443,1790,5
379,1790-05-18,154,30345,1790,5
309,1790-05-19,86,14111,1790,5
300,1790-05-20,260,41754,1790,5
277,1790-05-21,148,21517,1790,5
247,1790-05-22,145,13952,1790,5
276,1790-05-24,48,6978,1790,5
356,1790-05-25,43,7954,1790,5
306,1790-05-26,37,6035,1790,5
374,1790-05-27,118,22836,1790,5
466,1790-05-28,21,5205,1790,5
451,1790-05-29,142,33744,1790,5
140,1790-05-30,156,31069,1790,5
109,1790-05-31,171,31139,1790,5
426,1790-05-31,126,28696,1790,5
412,1790-06-01,71,15369,1790,6
375,1790-06-02,297,57694,1790,6
332,1790-06-04,99,17015,1790,6
541,1790-06-05,37,13488,1790,6
414,1790-06-06,56,12176,1790,6
424,1790-06-07,26,5840,1790,6
330,1790-06-08,76,13048,1790,6
431,1790-06-09,43,9888,1790,6
476,1790-06-10,101,25770,1790,6
508,1790-06-11,54,15482,1790,6
524,1790-06-12,71,21828,1790,6
496,1790-06-13,44,11889,1790,6
438,1790-06-14,26,6051,1790,6
366,1790-06-15,72,13613,1790,6
259,1790-06-16,49,6513,1790,6
354,1790-06-17,158,29037,1790,6
425,1790-06-18,476,107137,1790,6
435,1790-06-19,121,27973,1790,6
457,1790-06-20,25,6034,1790,6
294,1790-06-21,60,9526,1790,6
537,1790-06-22,99,34059,1790,6
287,1790-06-23,76,11625,1790,6
278,1790-06-24,41,6006,1790,6
266,1790-06-25,92,12992,1790,6
422,1790-06-26,212,46716,1790,6
320,1790-06-27,152,25659,1790,6
410,1790-06-28,165,35689,1790,6
428,1790-06-29,66,15139,1790,6
401,1790-06-30,55,11613,1790,6
399,1790-07-01,108,22709,1790,7
402,1790-07-02,317,67359,1790,7
515,1790-07-03,67,19805,1790,7
535,1790-07-04,20,6666,1790,7
283,1790-07-05,93,13840,1790,7
325,1790-07-06,144,24629,1790,7
271,1790-07-07,69,9822,1790,7
475,1790-07-08,97,24654,1790,7
420,1790-07-09,116,25506,1790,7
372,1790-07-10,59,11321,1790,7
538,1790-07-11,13,4607,1790,7
539,1790-07-12,51,18243,1790,7
482,1790-07-13,75,19585,1790,7
561,1790-07-14,1,1513,1790,7
319,1790-07-15,325,54747,1790,7
485,1790-07-16,122,31989,1790,7
363,1790-07-17,121,22777,1790,7
416,1790-07-18,25,5467,1790,7
298,1790-07-19,83,13315,1790,7
327,1790-07-20,118,20186,1790,7
522,1790-07-21,113,34528,1790,7
418,1790-07-22,186,40875,1790,7
256,1790-07-23,156,19685,1790,7
333,1790-07-24,137,23697,1790,7
397,1790-07-25,35,7350,1790,7
328,1790-07-26,222,38032,1790,7
338,1790-07-27,45,7896,1790,7
303,1790-07-28,86,13896,1790,7
479,1790-07-29,120,31140,1790,7
311,1790-07-30,88,14489,1790,7
519,1790-07-31,154,46515,1790,7
340,1790-08-01,76,13546,1790,8
282,1790-08-02,598,88513,1790,8
430,1790-08-03,149,34194,1790,8
255,1790-08-04,80,9926,1790,8
307,1790-08-05,85,13878,1790,8
480,1790-08-06,91,23650,1790,8
454,1790-08-07,37,8860,1790,8
532,1790-08-08,15,4920,1790,8
364,1790-08-09,174,32772,1790,8
334,1790-08-10,89,15553,1790,8
478,1790-08-11,76,19681,1790,8
498,1790-08-12,170,46078,1790,8
446,1790-08-13,62,14572,1790,8
527,1790-08-14,105,33049,1790,8
557,1790-08-15,13,6776,1790,8
497,1790-08-16,108,29221,1790,8
392,1790-08-17,118,24355,1790,8
352,1790-08-18,133,24415,1790,8
408,1790-08-19,57,12297,1790,8
526,1790-08-20,91,28239,1790,8
429,1790-08-21,68,15603,1790,8
442,1790-08-22,70,16348,1790,8
337,1790-08-23,93,16299,1790,8
437,1790-08-24,70,16223,1790,8
406,1790-08-25,156,33570,1790,8
493,1790-08-26,49,13122,1790,8
453,1790-08-27,343,81976,1790,8
324,1790-08-28,132,22385,1790,8
432,1790-08-29,47,10821,1790,8
308,1790-08-30,85,13918,1790,8
394,1790-08-31,207,42912,1790,8
507,1790-09-01,99,28213,1790,9
462,1790-09-02,15,3654,1790,9
322,1790-09-03,299,50522,1790,9
421,1790-09-04,184,40487,1790,9
312,1790-09-05,208,34396,1790,9
536,1790-09-06,44,15082,1790,9
533,1790-09-07,54,17717,1790,9
361,1790-09-08,43,8015,1790,9
362,1790-09-09,210,39449,1790,9
444,1790-09-11,99,23205,1790,9
460,1790-09-12,20,4832,1790,9
316,1790-09-13,176,29547,1790,9
555,1790-09-14,6,2936,1790,9
427,1790-09-15,61,13924,1790,9
531,1790-09-16,72,23556,1790,9
314,1790-09-17,161,26797,1790,9
323,1790-09-18,144,24386,1790,9
523,1790-09-19,50,15281,1790,9
433,1790-09-20,125,28840,1790,9
548,1790-09-21,72,29626,1790,9
467,1790-09-22,43,10704,1790,9
395,1790-09-23,166,34624,1790,9
302,1790-09-24,297,47885,1790,9
315,1790-09-25,145,24227,1790,9
281,1790-09-26,123,18163,1790,9
263,1790-09-27,223,30235,1790,9
275,1790-09-28,213,30865,1790,9
550,1790-09-30,40,16981,1790,9
299,1790-10-01,418,67048,1790,10
254,1790-10-02,249,30390,1790,10
543,1790-10-03,13,5031,1790,10
470,1790-10-04,67,16880,1790,10
490,1790-10-05,124,32922,1790,10
389,1790-10-06,114,23331,1790,10
370,1790-10-07,55,10517,1790,10
495,1790-10-08,30,8070,1790,10
393,1790-10-08,62,12807,1790,10
559,1790-10-09,7,6292,1790,10
285,1790-10-10,131,19750,1790,10
336,1790-10-11,65,11385,1790,10
518,1790-10-12,145,43637,1790,10
510,1790-10-13,75,21614,1790,10
441,1790-10-14,180,42019,1790,10
472,1790-10-15,84,21254,1790,10
447,1790-10-16,13,3059,1790,10
295,1790-10-17,85,13560,1790,10
264,1790-10-18,25,3453,1790,10
511,1790-10-19,114,32934,1790,10
260,1790-10-20,109,14535,1790,10
329,1790-10-21,138,23646,1790,10
464,1790-10-22,18,4409,1790,10
514,1790-10-23,70,20591,1790,10
554,1790-10-24,8,3862,1790,10
321,1790-10-25,119,20098,1790,10
525,1790-10-26,30,9274,1790,10
468,1790-10-27,88,22060,1790,10
342,1790-10-28,176,31541,1790,10
387,1790-10-29,182,36891,1790,10
270,1790-10-30,302,42954,1790,10
353,1790-10-31,140,25717,1790,10
346,1790-11-02,496,90377,1790,11
504,1790-11-03,23,6504,1790,11
439,1790-11-04,69,16059,1790,11
272,1790-11-05,50,7150,1790,11
326,1790-11-06,187,31981,1790,11
552,1790-11-07,11,5003,1790,11
500,1790-11-08,62,16945,1790,11
409,1790-11-09,102,22005,1790,11
388,1790-11-10,95,19315,1790,11
385,1790-11-11,108,21721,1790,11
517,1790-11-12,51,15218,1790,11
365,1790-11-13,115,21699,1790,11
317,1790-11-14,49,8249,1790,11
347,1790-11-15,169,30824,1790,11
258,1790-11-16,205,26933,1790,11
455,1790-11-17,137,32916,1790,11
313,1790-11-18,156,25826,1790,11
547,1790-11-19,33,13359,1790,11
339,1790-11-20,265,46753,1790,11
434,1790-11-21,120,27695,1790,11
512,1790-11-22,268,77772,1790,11
566,1790-11-23,64,6333,1790,11
390,1790-11-23,170,34834,1790,11
350,1790-11-24,65,11891,1790,11
452,1790-11-25,62,14737,1790,11
803,1790-11-26,44,8791,1790,11
469,1790-11-26,57,14349,1790,11
682,1790-11-27,525,83828,1790,11
502,1790-11-28,31,8600,1790,11
357,1790-11-29,138,25546,1790,11
911,1790-11-29,43,11133,1790,11
857,1790-11-30,201,44869,1790,11
528,1790-12-01,94,29827,1790,12
982,1790-12-02,34,12387,1790,12
292,1790-12-03,68,10740,1790,12
737,1790-12-04,114,20360,1790,12
841,1790-12-05,145,31379,1790,12
546,1790-12-06,120,48533,1790,12
305,1790-12-07,147,23956,1790,12
503,1790-12-08,89,25113,1790,12
823,1790-12-09,90,18920,1790,12
840,1790-12-10,25,5387,1790,12
289,1790-12-11,77,11837,1790,12
449,1790-12-12,143,33919,1790,12
459,1790-12-13,121,29228,1790,12
483,1790-12-14,93,24288,1790,12
551,1790-12-15,50,22132,1790,12
465,1790-12-16,57,14049,1790,12
944,1790-12-17,40,11608,1790,12
355,1790-12-18,175,32334,1790,12
993,1790-12-19,30,12570,1790,12
450,1790-12-20,153,36296,1790,12
898,1790-12-21,62,15667,1790,12
505,1790-12-22,19,5379,1790,12
560,1790-12-23,7,6752,1790,12
794,1790-12-24,101,19867,1790,12
396,1790-12-26,61,12775,1790,12
473,1790-12-27,53,13450,1790,12
832,1790-12-28,81,17277,1790,12
484,1790-12-29,26,6800,1790,12
921,1790-12-30,101,27094,1790,12
1001,1790-12-31,22,11233,1790,12
782,1791-01-01,26,4975,1791,1
367,1791-01-02,81,15384,1791,1
616,1791-01-04,207,28914,1791,1
568,1791-01-05,187,19932,1791,1
796,1791-01-06,76,14967,1791,1
855,1791-01-07,139,30878,1791,1
894,1791-01-08,84,20576,1791,1
825,1791-01-09,33,6972,1791,1
617,1791-01-10,87,12164,1791,1
667,1791-01-11,188,29147,1791,1
748,1791-01-12,102,18531,1791,1
828,1791-01-13,201,42579,1791,1
831,1791-01-14,164,34932,1791,1
771,1791-01-15,196,36980,1791,1
874,1791-01-16,46,10720,1791,1
576,1791-01-17,148,16863,1791,1
645,1791-01-18,160,23587,1791,1
714,1791-01-19,70,11848,1791,1
718,1791-01-20,118,20041,1791,1
715,1791-01-21,384,64995,1791,1
958,1791-01-22,108,33865,1791,1
806,1791-01-24,52,10441,1791,1
711,1791-01-25,107,18032,1791,1
579,1791-01-26,80,9523,1791,1
854,1791-01-27,87,19211,1791,1
672,1791-01-28,163,25492,1791,1
758,1791-01-29,211,38883,1791,1
891,1791-01-30,33,8017,1791,1
780,1791-01-31,383,73217,1791,1
948,1791-02-01,164,47862,1791,2
670,1791-02-02,40,6245,1791,2
575,1791-02-03,174,19783,1791,2
584,1791-02-05,186,22889,1791,2
927,1791-02-06,56,15275,1791,2
830,1791-02-07,63,13406,1791,2
797,1791-02-08,173,34210,1791,2
978,1791-02-09,25,8904,1791,2
716,1791-02-10,182,30859,1791,2
995,1791-02-11,50,21374,1791,2
639,1791-02-12,137,20004,1791,2
751,1791-02-13,79,14382,1791,2
811,1791-02-14,120,24355,1791,2
709,1791-02-15,135,22722,1791,2
798,1791-02-16,41,8131,1791,2
893,1791-02-17,216,52870,1791,2
666,1791-02-18,230,35632,1791,2
908,1791-02-19,315,80531,1791,2
799,1791-02-20,60,11936,1791,2
1000,1791-02-21,11,5131,1791,2
829,1791-02-22,188,39830,1791,2
943,1791-02-23,245,70809,1791,2
597,1791-02-24,130,16975,1791,2
572,1791-02-25,177,19636,1791,2
689,1791-02-26,195,31576,1791,2
852,1791-02-27,20,4398,1791,2
717,1791-03-01,87,14753,1791,3
983,1791-03-02,113,41338,1791,3
642,1791-03-03,106,15570,1791,3
607,1791-03-04,71,9535,1791,3
863,1791-03-05,153,34787,1791,3
842,1791-03-06,43,9306,1791,3
836,1791-03-07,123,26356,1791,3
801,1791-03-08,44,8781,1791,3
804,1791-03-09,130,25983,1791,3
686,1791-03-10,94,15156,1791,3
661,1791-03-11,56,8592,1791,3
843,1791-03-12,138,29870,1791,3
730,1791-03-13,54,9491,1791,3
802,1791-03-14,46,9186,1791,3
886,1791-03-15,130,31393,1791,3
634,1791-03-16,74,10691,1791,3
889,1791-03-17,116,28128,1791,3
807,1791-03-18,39,7838,1791,3
620,1791-03-19,169,23882,1791,3
964,1791-03-20,54,17240,1791,3
640,1791-03-21,164,24059,1791,3
611,1791-03-22,418,56680,1791,3
741,1791-03-23,106,18995,1791,3
734,1791-03-24,223,39453,1791,3
671,1791-03-25,71,11087,1791,3
867,1791-03-26,29,6646,1791,3
731,1791-03-27,81,14237,1791,3
989,1791-03-28,4,1573,1791,3
966,1791-03-29,60,19232,1791,3
649,1791-03-30,66,9880,1791,3
699,1791-03-31,132,21845,1791,3
618,1791-04-01,65,9132,1791,4
659,1791-04-02,98,14903,1791,4
918,1791-04-02,37,9835,1791,4
975,1791-04-03,38,13208,1791,4
824,1791-04-04,96,20237,1791,4
744,1791-04-05,232,41969,1791,4
601,1791-04-06,190,25191,1791,4
821,1791-04-07,129,27072,1791,4
833,1791-04-08,62,13227,1791,4
746,1791-04-09,153,27773,1791,4
822,1791-04-10,49,10299,1791,4
580,1791-04-11,117,14050,1791,4
967,1791-04-12,97,31294,1791,4
988,1791-04-13,135,52839,1791,4
790,1791-04-14,173,33786,1791,4
678,1791-04-15,172,27343,1791,4
712,1791-04-16,126,21250,1791,4
646,1791-04-17,151,22267,1791,4
565,1791-04-18,185,17936,1791,4
615,1791-04-19,145,20182,1791,4
866,1791-04-20,88,20094,1791,4
853,1791-04-21,40,8829,1791,4
733,1791-04-22,86,15182,1791,4
864,1791-04-23,352,80035,1791,4
562,1791-04-24,1,27,1791,4
960,1791-04-25,48,15098,1791,4
589,1791-04-26,103,12895,1791,4
793,1791-04-27,108,21228,1791,4
788,1791-04-28,206,40063,1791,4
871,1791-04-29,180,41666,1791,4
740,1791-04-30,174,31144,1791,4
608,1791-05-01,75,10087,1791,5
656,1791-05-02,171,25792,1791,5
692,1791-05-03,222,36242,1791,5
781,1791-05-04,170,32510,1791,5
573,1791-05-05,332,36835,1791,5
723,1791-05-06,108,18446,1791,5
585,1791-05-07,224,27686,1791,5
972,1791-05-08,22,7224,1791,5
685,1791-05-09,122,19558,1791,5
817,1791-05-10,306,63309,1791,5
654,1791-05-11,266,39986,1791,5
626,1791-05-12,206,29494,1791,5
621,1791-05-13,228,32262,1791,5
641,1791-05-14,177,25984,1791,5
571,1791-05-15,101,11048,1791,5
658,1791-05-16,254,38483,1791,5
721,1791-05-17,361,61385,1791,5
637,1791-05-18,179,26057,1791,5
660,1791-05-19,192,29339,1791,5
696,1791-05-20,103,16964,1791,5
664,1791-05-21,272,41956,1791,5
1192,1791-05-22,53,12074,1791,5
818,1791-05-22,39,8126,1791,5
923,1791-05-23,142,38251,1791,5
812,1791-05-24,411,83526,1791,5
719,1791-05-25,152,25819,1791,5
757,1791-05-26,267,49133,1791,5
987,1791-05-27,159,60918,1791,5
742,1791-05-28,126,22712,1791,5
756,1791-05-29,81,14846,1791,5
704,1791-05-30,122,20356,1791,5
690,1791-05-31,323,52306,1791,5
705,1791-06-01,136,22714,1791,6
752,1791-06-02,81,14763,1791,6
629,1791-06-03,136,19588,1791,6
728,1791-06-04,140,24443,1791,6
973,1791-06-05,41,13777,1791,6
636,1791-06-06,123,17815,1791,6
929,1791-06-07,119,32540,1791,6
605,1791-06-08,98,13063,1791,6
614,1791-06-09,201,27562,1791,6
681,1791-06-10,116,18495,1791,6
694,1791-06-11,214,34999,1791,6
624,1791-06-13,410,58396,1791,6
986,1791-06-14,76,28944,1791,6
935,1791-06-15,93,25955,1791,6
749,1791-06-16,132,23987,1791,6
808,1791-06-17,69,13910,1791,6
647,1791-06-18,220,32587,1791,6
583,1791-06-19,65,7904,1791,6
868,1791-06-20,96,22089,1791,6
873,1791-06-21,766,178070,1791,6
574,1791-06-26,94,10528,1791,6
968,1791-06-27,58,18758,1791,6
738,1791-06-28,141,25231,1791,6
569,1791-06-29,106,11421,1791,6
951,1791-06-30,28,8568,1791,6
930,1791-07-01,128,35481,1791,7
999,1791-07-02,81,36045,1791,7
856,1791-07-03,49,10891,1791,7
956,1791-07-04,103,32143,1791,7
909,1791-07-05,143,36932,1791,7
858,1791-07-06,64,14315,1791,7
809,1791-07-07,91,18424,1791,7
778,1791-07-08,68,12968,1791,7
795,1791-07-09,217,42692,1791,7
981,1791-07-10,33,11996,1791,7
851,1791-07-11,421,92466,1791,7
926,1791-07-12,63,17182,1791,7
600,1791-07-13,258,34149,1791,7
700,1791-07-14,343,56918,1791,7
593,1791-07-15,387,49211,1791,7
965,1791-07-16,73,23370,1791,7
766,1791-07-17,82,15386,1791,7
770,1791-07-18,101,19010,1791,7
934,1791-07-19,124,34538,1791,7
878,1791-07-20,44,10386,1791,7
992,1791-07-21,90,36597,1791,7
895,1791-07-22,97,23785,1791,7
815,1791-07-23,271,55564,1791,7
567,1791-07-24,111,11408,1791,7
976,1791-07-25,100,34921,1791,7
971,1791-07-26,148,47999,1791,7
769,1791-07-27,190,35737,1791,7
952,1791-07-28,193,59437,1791,7
950,1791-07-29,70,21198,1791,7
657,1791-07-30,281,42420,1791,7
814,1791-07-31,72,14716,1791,7
724,1791-08-01,151,25807,1791,8
919,1791-08-02,90,23985,1791,8
977,1791-08-04,108,37819,1791,8
922,1791-08-05,99,26665,1791,8
955,1791-08-06,40,12464,1791,8
577,1791-08-07,175,20199,1791,8
648,1791-08-08,182,27092,1791,8
785,1791-08-09,190,36620,1791,8
563,1791-08-10,190,17556,1791,8
582,1791-08-11,338,40805,1791,8
564,1791-08-12,219,20468,1791,8
677,1791-08-13,195,30984,1791,8
683,1791-08-14,90,14377,1791,8
591,1791-08-15,92,11545,1791,8
942,1791-08-16,120,34180,1791,8
773,1791-08-17,54,10211,1791,8
962,1791-08-18,141,44962,1791,8
963,1791-08-19,71,22641,1791,8
990,1791-08-20,30,12057,1791,8
870,1791-08-21,71,16411,1791,8
612,1791-08-22,139,18892,1791,8
587,1791-08-23,261,32564,1791,8
892,1791-08-24,125,30522,1791,8
578,1791-08-25,169,19790,1791,8
772,1791-08-27,156,29444,1791,8
