,date,pas,total
0,1930-11-29,4,49667
1,1930-12-06,2,55817
2,1930-12-13,13,56424
3,1930-12-20,0,56326
4,1930-12-27,4,53944
5,1931-01-03,1,57225
6,1931-01-10,3,55366
7,1931-01-17,2,56294
8,1931-01-24,3,55927
9,1931-01-31,0,55101
10,1931-02-07,3,54353
11,1931-02-14,3,57972
12,1931-02-21,2,55335
13,1931-02-28,2,55436
14,1931-03-07,8,60056
15,1931-03-14,2,55093
16,1931-03-21,2,57173
17,1931-03-28,3,58355
18,1931-04-04,1,58258
19,1931-04-11,0,60030
20,1931-04-18,3,55336
21,1931-04-25,4,58493
22,1931-05-02,1,57850
23,1931-05-09,1,57963
24,1931-05-16,1,58200
25,1931-05-23,1,57507
26,1931-05-30,3,59003
27,1931-06-06,2,58522
28,1931-06-12,3,62081
29,1931-06-20,2,57891
30,1931-06-27,0,58548
31,1931-07-04,2,58362
32,1931-07-11,1,48634
33,1931-07-18,0,50469
34,1931-07-25,0,49959
35,1931-08-02,1,49797
36,1931-08-08,0,49491
37,1931-08-15,1,51047
38,1931-08-22,0,48904
39,1931-08-29,0,50639
40,1931-09-05,0,45533
41,1931-09-12,0,50103
42,1931-09-19,1,48908
43,1931-09-26,0,50059
44,1931-10-03,1,49628
45,1931-10-10,0,49278
46,1931-10-17,0,48766
47,1931-10-24,0,48560
48,1931-10-31,0,58055
49,1931-11-07,0,47973
50,1931-11-14,5,43216
51,1931-11-21,2,48988
52,1931-11-28,1,48686
53,1931-12-05,17,49923
54,1931-12-12,2,50364
55,1931-12-19,3,48327
56,1931-12-26,1,38368
57,1932-01-02,2,48517
58,1932-01-09,1,49124
59,1932-01-16,1,43852
60,1932-01-23,3,48132
61,1932-01-30,6,50084
62,1932-02-06,1,49659
63,1932-02-13,15,45276
64,1932-02-20,9,49532
65,1932-02-27,1,48506
66,1932-03-05,1,48801
67,1932-03-12,2,50994
68,1932-03-19,4,51675
69,1932-03-26,3,47492
70,1932-04-02,3,49902
71,1932-04-09,1,51980
72,1932-04-16,1,50613
73,1932-04-23,0,45770
74,1932-04-30,2,51827
75,1932-05-07,3,51382
76,1932-05-14,2,44754
77,1932-05-21,3,51355
78,1932-05-28,4,54473
79,1932-06-04,1,52625
80,1932-06-11,8,55549
81,1932-06-18,9,52471
82,1932-06-25,2,51665
83,1932-07-02,0,51036
84,1932-07-09,1,48834
85,1932-07-16,0,55054
86,1932-07-23,7,54423
87,1932-07-30,0,54377
88,1932-08-06,2,49254
89,1932-08-13,1,52286
90,1932-08-20,4,49184
91,1932-08-27,4,51799
92,1932-09-03,5,50767
93,1932-09-10,2,54374
94,1932-09-17,0,50388
95,1932-09-24,0,49623
96,1932-10-01,3,50212
97,1932-10-08,1,50665
98,1932-10-15,6,52338
99,1932-10-22,0,41384
100,1932-10-29,0,51643
101,1932-11-05,1,50976
102,1932-11-12,0,55282
103,1932-11-19,0,52648
104,1932-11-26,1,52349
105,1932-12-03,0,49720
106,1932-12-10,0,60549
107,1932-12-17,0,49419
108,1932-12-24,2,53019
109,1932-12-31,13,50681
110,1933-01-07,1,48760
111,1933-01-14,2,63824
112,1933-01-21,1,52615
113,1933-01-28,1,48497
114,1933-02-04,1,49604
115,1933-02-11,2,56972
116,1933-02-18,1,50314
117,1933-02-25,2,49517
118,1933-03-04,2,50097
119,1933-03-11,2,61448
120,1933-03-18,1,61468
121,1933-03-25,6,66649
122,1933-04-01,13,60044
123,1933-04-08,5,57138
124,1933-04-15,22,64883
125,1933-04-22,14,53114
126,1933-04-29,1,56489
127,1933-05-06,2,55858
128,1933-05-13,2,67046
129,1933-05-20,29,58783
130,1933-05-27,43,57436
131,1933-06-03,3,55265
132,1933-06-10,2,57970
133,1933-06-17,9,59150
134,1933-06-24,4,56065
135,1933-07-01,1,57495
136,1933-07-08,9,60995
137,1933-07-15,4,60571
138,1933-07-22,1,57888
139,1933-07-29,1,58748
140,1933-08-05,3,60040
141,1933-08-12,2,59475
142,1933-08-19,8,58369
143,1933-08-26,3,57793
144,1933-09-02,3,57391
145,1933-09-09,0,58090
146,1933-09-16,1,54290
147,1933-09-23,8,57409
148,1933-09-30,3,58355
149,1933-10-07,0,57913
150,1933-10-14,1,57114
151,1933-10-21,6,56949
152,1933-10-28,7,57119
153,1933-11-04,14,59424
154,1933-11-11,2,56558
155,1933-11-18,4,59663
156,1933-11-25,1,58944
157,1933-12-02,1,57204
158,1933-12-09,1,57265
159,1933-12-16,7,56278
160,1933-12-23,1,58851
161,1933-12-30,31,58244
162,1934-01-06,5,59172
163,1934-01-13,3,59802
164,1934-01-20,8,58773
165,1934-01-27,2,60182
166,1934-02-03,3,59882
167,1934-02-10,23,59166
168,1934-02-17,2,59455
169,1934-02-24,1,61027
170,1934-03-03,2,59653
171,1934-03-10,11,60606
172,1934-03-17,0,59474
173,1934-03-24,5,60598
174,1934-03-31,8,60303
175,1934-04-07,4,59832
176,1934-04-14,2,61973
177,1934-04-21,2,60563
178,1934-04-28,6,61744
179,1934-05-05,7,59202
180,1934-05-12,1,57171
181,1934-05-19,4,56428
182,1934-05-26,5,58575
183,1934-06-02,7,59195
184,1934-06-09,13,58445
185,1934-06-16,1,57530
186,1934-06-23,2,60703
187,1934-06-30,5,58248
188,1934-07-07,5,57412
189,1934-07-14,2,59100
190,1934-07-21,5,56409
191,1934-07-28,1,56086
192,1934-08-04,2,57362
193,1934-08-11,4,48441
194,1934-08-18,0,52367
195,1934-08-25,25,53199
196,1934-09-01,0,49310
197,1934-09-08,0,49081
198,1934-09-15,18,48878
199,1934-09-22,9,57381
200,1934-09-29,1,48831
201,1934-10-06,1,55673
202,1934-10-13,1,59022
203,1934-10-20,5,58742
204,1934-10-27,3,59966
205,1934-11-03,5,57667
206,1934-11-10,2,57100
207,1934-11-17,6,60609
208,1934-11-24,6,58021
209,1934-12-01,3,58787
210,1934-12-08,1,60529
211,1934-12-15,11,60749
212,1934-12-22,8,59820
213,1934-12-29,5,54077
214,1935-01-05,4,50637
215,1935-01-12,13,58852
216,1935-01-19,5,58473
217,1935-01-26,3,60311
218,1935-02-02,1,50793
219,1935-02-09,5,59460
220,1935-02-16,26,60427
221,1935-02-23,7,59471
222,1935-03-02,8,58187
223,1935-03-09,14,59897
224,1935-03-16,9,60778
225,1935-03-23,6,60381
226,1935-03-30,6,59316
227,1935-04-06,7,60558
228,1935-04-13,0,53467
229,1935-04-20,8,58028
230,1935-04-27,51,53806
231,1935-05-04,16,57859
232,1935-05-11,2,56180
233,1935-05-18,2,55325
234,1935-05-25,2,60919
235,1935-06-01,1,57727
236,1935-06-08,1,58819
237,1935-06-15,1,58028
238,1935-06-22,3,59074
239,1935-06-29,2,57986
240,1935-07-06,19,47330
241,1935-07-13,1,49493
242,1935-07-20,1,46920
243,1935-07-27,4,47061
244,1935-08-03,12,55817
245,1935-08-10,6,51051
246,1935-08-17,111,45721
247,1935-08-24,6,47801
248,1935-08-31,2,46366
249,1935-09-07,7,57909
250,1935-09-14,7,45431
251,1935-09-21,11,46490
252,1935-09-28,4,54305
253,1935-10-05,18,46180
254,1935-10-12,4,51614
255,1935-10-19,7,57117
256,1935-10-26,2,57228
257,1935-11-02,5,44887
258,1935-11-09,19,58693
259,1935-11-16,1,51087
260,1935-11-23,1,55351
261,1935-11-30,38,46366
262,1935-12-07,6,53355
263,1935-12-14,7,55489
264,1935-12-21,2,56916
265,1935-12-28,1,54640
266,1936-01-04,1,57754
267,1936-01-11,8,57159
268,1936-01-18,3,53619
269,1936-01-25,5,59799
270,1936-02-01,7,48835
271,1936-02-08,7,55860
272,1936-02-15,3,55953
273,1936-02-22,1,58706
274,1936-02-29,2,58845
275,1936-03-07,0,46246
276,1936-03-14,8,55064
277,1936-03-21,5,58670
278,1936-03-28,6,58362
279,1936-04-04,2,54755
280,1936-04-11,7,55796
281,1936-04-18,6,46334
282,1936-04-25,5,53674
283,1936-05-02,7,56718
284,1936-05-09,39,48073
285,1936-05-16,9,45895
286,1936-05-23,12,46329
287,1936-05-30,8,45058
288,1936-06-06,31,47097
289,1936-06-13,0,46656
290,1936-06-20,2,46076
291,1936-06-27,10,46075
292,1936-07-04,1,46758
293,1936-07-11,6,43877
294,1936-07-18,10,45253
295,1936-07-25,5,45428
296,1936-08-01,23,44502
297,1936-08-08,0,44112
298,1936-08-15,8,43727
299,1936-08-22,1,41401
300,1936-08-29,2,41970
301,1936-09-05,2,41135
302,1936-09-12,2,44034
303,1936-09-19,7,49848
304,1936-09-26,7,42646
305,1936-10-03,29,40032
306,1936-10-10,27,48154
307,1936-10-17,9,44424
308,1936-10-24,1,34771
309,1936-10-31,4,54917
310,1936-11-07,25,46356
311,1936-11-14,9,45043
312,1936-11-21,8,47313
313,1936-11-28,3,44765
314,1936-12-05,4,52173
315,1936-12-12,2,43646
316,1936-12-19,1,46643
317,1936-12-26,2,44076
318,1937-01-02,12,42122
319,1937-01-09,3,39468
320,1937-01-16,7,41745
321,1937-01-23,2,43758
322,1937-01-30,9,45474
323,1937-02-06,8,42640
324,1937-02-13,11,43498
325,1937-02-20,20,44524
326,1937-02-27,3,42389
327,1937-03-06,7,44611
328,1937-03-11,5,40774
329,1937-03-13,11,44629
330,1937-03-20,10,44114
331,1937-03-27,6,42361
332,1937-04-03,0,43273
333,1937-04-10,1,41458
334,1937-04-17,3,43003
335,1937-04-24,1,46467
336,1937-05-01,3,42961
337,1937-05-08,4,44649
338,1937-05-15,3,42749
339,1937-05-22,26,43104
340,1937-05-29,6,44340
341,1937-06-05,7,43618
342,1937-06-12,44,44768
343,1937-06-19,0,45167
344,1937-06-25,0,44130
345,1937-07-02,12,43590
346,1937-07-09,6,43797
347,1937-07-16,4,43014
348,1937-07-23,20,42583
349,1937-07-30,33,43435
350,1937-08-06,1,32739
351,1937-08-13,11,42989
352,1937-08-20,7,42523
353,1937-08-27,22,42931
354,1937-09-03,27,44378
355,1937-09-10,35,44137
356,1937-09-17,10,44455
357,1937-09-24,3,36323
358,1937-10-01,7,47281
359,1937-10-08,22,45062
360,1937-10-15,3,42641
361,1937-10-22,30,43262
362,1937-10-29,6,45691
363,1937-11-05,3,44048
364,1937-11-12,5,44640
365,1937-11-19,6,43590
366,1937-11-26,11,44739
367,1937-12-03,2,42471
368,1937-12-10,0,43991
369,1937-12-17,0,43384
370,1937-12-24,4,42769
371,1937-12-31,3,39582
372,1938-01-07,19,41241
373,1938-01-14,41,39604
374,1938-01-21,58,37754
375,1938-01-28,35,40303
376,1938-02-04,16,39901
377,1938-02-11,17,34102
378,1938-02-18,69,40821
379,1938-02-25,16,39202
380,1938-03-04,57,40890
381,1938-03-18,38,40018
382,1938-03-26,3,35020
383,1938-04-01,38,40901
384,1938-04-08,32,41000
385,1938-04-15,591,36437
386,1938-04-22,17,38292
387,1938-04-29,7,39620
388,1938-05-06,20,42766
389,1938-05-13,25,40589
390,1938-05-20,35,39323
391,1938-05-27,6,39896
392,1938-06-03,18,41396
393,1938-06-10,41,41190
394,1938-06-17,9,38836
395,1938-06-24,17,42122
396,1938-07-01,11,39960
397,1938-07-08,35,40179
398,1938-07-15,2,40098
399,1938-07-22,27,41060
400,1938-07-29,19,40797
401,1938-08-05,7,40216
402,1938-08-12,58,40041
403,1938-08-19,29,42986
404,1938-08-26,21,41212
405,1938-09-02,72,41142
406,1938-09-09,18,42419
407,1938-09-16,17,39893
408,1938-09-23,76,39179
409,1938-09-30,22,33551
410,1938-10-07,63,38835
411,1938-10-14,39,38842
412,1938-10-21,56,41402
413,1938-10-28,52,39908
414,1938-11-04,52,38156
415,1938-11-11,27,39121
416,1938-11-18,60,40379
417,1938-11-25,77,41268
418,1938-12-02,21,40367
419,1938-12-09,50,40794
420,1938-12-16,45,41377
421,1938-12-23,27,41739
422,1938-12-30,30,49763
423,1939-01-06,19,41347
424,1939-01-13,11,50894
425,1939-01-20,29,38652
426,1939-01-27,64,50145
427,1939-02-03,29,38926
428,1939-02-10,41,51967
429,1939-02-17,700,40702
430,1939-02-24,10,43805
431,1939-03-03,51,44846
432,1939-03-10,57,50172
433,1939-03-17,13,42940
434,1939-03-24,36,42162
435,1939-03-31,18,41543
436,1939-04-07,20,40939
437,1939-04-14,30,43598
438,1939-04-21,10,52973
439,1939-04-28,24,42471
440,1939-05-05,13,41783
441,1939-05-12,15,43133
442,1939-05-19,8,42109
443,1939-05-26,41,42273
444,1939-06-02,14,40526
445,1939-06-09,16,40956
446,1939-06-16,15,41528
447,1939-06-23,6,42293
448,1939-06-30,0,4498
449,1939-07-07,29,39968
450,1939-07-14,28,43271
451,1939-07-21,5,41212
452,1939-07-28,53,41210
453,1939-08-04,17,44769
454,1939-08-11,29,42389
455,1939-08-18,5,40282
456,1939-08-26,19,41348
457,1939-09-01,1,30420
458,1939-09-08,18,20541
459,1939-09-15,0,22874
460,1939-09-22,0,22614
461,1939-09-29,0,34115
462,1939-10-06,1,25573
463,1939-10-13,1,32414
464,1939-10-20,4,24545
465,1939-10-27,1,23584
466,1939-11-03,3,33290
467,1939-11-10,0,23312
468,1939-11-17,2,34861
469,1939-11-24,0,34543
470,1939-12-01,8,34953
471,1939-12-08,0,30403
472,1939-12-15,2,34940
473,1939-12-22,3,33466
474,1939-12-29,0,34520
475,1940-01-05,1,33791
476,1940-01-12,4,33406
477,1940-01-19,3,35526
478,1940-01-26,2,32232
479,1940-02-02,0,32219
480,1940-02-09,1,34650
481,1940-02-16,0,36654
482,1940-02-23,1,36204
483,1940-03-01,3,37425
484,1940-03-08,1,34895
485,1940-03-15,4,34975
486,1940-03-22,4,35961
487,1940-03-29,0,33231
488,1940-04-05,0,31812
489,1940-04-12,1,36793
490,1940-04-19,0,34346
491,1940-04-26,0,35355
492,1940-05-03,3,36808
493,1940-05-10,0,36629
494,1940-05-17,3,37164
495,1940-05-24,1,32942
496,1940-05-31,0,26286
497,1940-06-07,1,18246
498,1941-02-07,59,31688
499,1941-02-14,33,33576
500,1941-02-21,52,36234
501,1941-02-28,50,35221
502,1941-03-07,17,33777
503,1941-03-14,29,33863
504,1941-03-21,15,31700
505,1941-03-28,28,33360
506,1941-04-04,50,34762
507,1941-04-11,26,35165
508,1941-04-18,35,34709
509,1941-04-25,34,37305
510,1941-05-02,25,35101
511,1941-05-12,24,43009
512,1941-05-19,72,42241
513,1941-05-26,32,40730
514,1941-06-02,31,43011
515,1941-06-09,38,38099
516,1941-06-16,20,44748
517,1941-06-23,18,39003
518,1941-06-30,35,43061
519,1941-07-07,18,33954
520,1941-07-14,9,42806
521,1941-07-21,19,39504
522,1941-07-28,21,41931
523,1941-08-04,13,36572
524,1941-08-11,21,45787
525,1941-08-18,18,41216
526,1941-08-25,20,43097
527,1941-08-30,62,39940
528,1941-09-06,19,44766
529,1941-09-13,38,45696
530,1941-09-20,32,42518
531,1941-09-27,35,46394
532,1941-10-04,38,40058
533,1941-10-11,11,42501
534,1941-10-18,23,39291
535,1941-10-25,25,45231
536,1941-11-01,22,45950
537,1941-11-08,11,43293
538,1941-11-15,43,51797
539,1941-11-22,43,50413
540,1941-11-29,60,53850
541,1941-12-06,49,49617
542,1941-12-13,21,44180
543,1941-12-20,42,36004
544,1941-12-27,15,34890
545,1942-01-10,17,38260
546,1942-01-17,15,37183
547,1942-01-24,25,38542
548,1942-01-31,20,38003
549,1942-02-07,76,36917
550,1942-02-14,32,36389
551,1942-02-21,48,38181
552,1942-02-28,47,36698
553,1942-03-07,32,36750
554,1942-03-14,26,37304
555,1942-03-21,42,39674
556,1942-03-28,13,35176
557,1942-04-04,61,37297
558,1942-04-11,16,38386
559,1942-04-18,11,36527
560,1942-04-25,22,37976
561,1942-05-02,33,39843
562,1942-05-09,39,40205
563,1942-05-16,34,37010
564,1942-05-23,24,40036
565,1942-05-30,35,38173
566,1942-06-06,32,37465
567,1942-06-13,37,41322
568,1942-06-20,29,39841
569,1942-06-27,35,40163
570,1942-07-03,16,39409
571,1942-07-10,45,40664
572,1942-07-17,29,39288
573,1942-07-24,41,40149
574,1942-07-31,39,38950
575,1942-08-07,47,39329
576,1942-08-14,28,38598
577,1942-08-21,25,35975
578,1942-08-28,16,38941
579,1942-09-04,30,40750
580,1942-09-11,28,38293
581,1942-09-18,52,39319
582,1942-09-25,9,40168
583,1942-10-02,21,39610
584,1942-10-09,11,38891
585,1942-10-16,26,39399
586,1942-10-23,29,38136
587,1942-10-30,36,40184
588,1942-11-06,36,40534
589,1942-11-13,12,38076
590,1942-11-20,29,36779
591,1942-11-27,20,39197
592,1942-12-04,15,37242
593,1942-12-11,31,40761
594,1942-12-18,36,36862
595,1942-12-24,7,39166
596,1943-01-08,18,37497
597,1943-01-15,23,40485
598,1943-01-22,10,37957
599,1943-01-29,66,39776
600,1943-02-05,17,37386
601,1943-02-12,10,39105
602,1943-02-19,16,37787
603,1943-02-26,13,37602
604,1943-03-05,33,37191
605,1943-03-12,17,39368
606,1943-03-19,36,36829
607,1943-03-24,6,39479
608,1943-04-02,6,38472
609,1943-04-09,13,39809
610,1943-04-16,10,37631
611,1943-04-23,23,37831
612,1943-04-30,22,38267
613,1943-05-07,15,38440
614,1943-05-14,12,38199
615,1943-05-21,17,42126
616,1943-05-28,20,38557
617,1943-06-04,14,40516
618,1943-06-11,8,41648
619,1943-06-18,7,40621
620,1943-06-25,6,39947
621,1943-07-02,40,41541
622,1943-07-09,8,39953
623,1943-07-16,15,37511
624,1943-07-23,26,38424
625,1943-07-30,32,39134
626,1943-08-06,8,37154
627,1943-08-13,4,42979
628,1943-08-20,9,37869
629,1943-08-27,12,38184
630,1943-09-03,37,37302
631,1943-09-10,30,39183
632,1943-09-17,14,37096
633,1943-09-24,20,37459
634,1943-10-01,26,37613
635,1943-10-08,19,40696
636,1943-10-15,17,39464
637,1943-10-22,40,40558
638,1943-10-29,32,41742
639,1943-11-05,13,41440
640,1943-11-12,19,33684
641,1943-11-19,11,41907
642,1943-11-26,31,33638
643,1943-12-03,14,40184
644,1943-12-10,12,31874
645,1943-12-17,14,41165
646,1943-12-24,12,30602
647,1944-01-07,21,32402
648,1944-01-14,37,33451
649,1944-01-21,26,31146
650,1944-01-28,12,34066
651,1944-02-04,22,32619
652,1944-02-11,27,32542
653,1944-02-18,23,31877
654,1944-02-25,17,32855
655,1944-03-03,6,32652
656,1944-03-10,42,33375
657,1944-03-17,15,33667
658,1944-03-24,16,34391
659,1944-03-31,32,34233
660,1944-04-07,37,37441
661,1944-04-14,90,32017
662,1944-04-21,11,33528
663,1944-04-28,57,32215
664,1944-05-05,30,35465
665,1944-05-12,11,31809
666,1944-05-19,3,33913
667,1944-05-26,21,33854
668,1944-06-02,18,32901
669,1944-06-09,16,33577
670,1944-06-16,13,33475
671,1944-06-23,17,33334
672,1944-06-30,9,34320
673,1944-07-07,23,33181
674,1944-07-14,25,35229
675,1944-07-21,8,31094
676,1944-07-28,11,35316
677,1944-08-16,9,33485
